genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,F-mini-OFF,DJID_2009,166.666666666667,0,0,0,30,30,439,224,2.33333333333333,14.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VT,F-mini-OFF,DJID_2009,133.333333333333,0.277778,0,0,59,42,42,224,1,11.6666666666667,59,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,F-mini-OFF,DJID_2009,100,0,0,0,30,30,30,160,0,12.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,F-mini-OFF,DJID_2009,100,0.222222,0,0.666666666666667,30,30,30,224,0,16,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,DT,F-mini-OFF,DJID_2004,333.333333333333,0,0,0,42,30,115,224,5.33333333333333,27.3333333333333,42,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,VN,F-mini-OFF,DJID_1862,100,0.111111,0,0.333333333333333,42,30,82,1200,2.33333333333333,9,42,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,F-mini-OFF,DJID_1862,100,0.166667,0,1,30,30,115,82,1.66666666666667,17.5,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,F-mini-OFF,DJID_1862,100,0.5,0,0,42,314,115,160,2.66666666666667,5,42,NaN
Trarg1(Tusc5-eGFP/WT),Female,78,Left,DN,F-mini-OFF,DJID_2086,100,0,0,0.166666666666667,30,42,1200,115,13.1666666666667,22.1666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,F-mini-OFF,DJID_3110,100,0.611111,0,0,30,30,1094,1200,21,0.666666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Left,VT,F-mini-OFF,DJID_2259,133.333333333333,0.111111,0,0,30,30,858,314,1,21,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Left,VT,F-mini-OFF,DJID_2259,100,0.277778,0,0,224,42,115,224,4.66666666666667,15.3333333333333,224,NaN
Trarg1(Tusc5-eGFP/WT),Female,67.8571,Right,VN,F-mini-OFF,DJID_2782,166.666666666667,0,0,0,30,30,614,115,6.66666666666667,14.6666666666667,NaN,NaN
