genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,233.333333333333,0,0,0,30,30,59,224,0.666666666666667,17.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,100,0,0,0,30,30,115,614,0.333333333333333,3.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,66.6666666666667,0,0,0,30,30,115,614,2,4.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,66.6666666666667,0,0,0,82,30,115,858,3.33333333333333,5.66666666666667,82,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,F-mini-OFF,DJID_1583,100,2.77778,0,0.333333333333333,59,858,858,115,10.3333333333333,27.6666666666667,59,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-OFF,DJID_1583,66.6666666666667,0,0,0,30,30,115,314,1.66666666666667,2,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-OFF,DJID_1583,66.6666666666667,0,0,0,30,42,115,115,3,3,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,266.666666666667,0,0,0,614,30,82,115,9.66666666666667,27.3333333333333,614,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,266.666666666667,0,0,0,30,1200,858,115,13,25.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,200,1.33333,0,0.5,30,30,115,224,21.5,35,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,166.666666666667,0,0,0,30,30,82,115,20.3333333333333,22.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,166.666666666667,0,0,0,30,30,858,160,15.3333333333333,29.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-OFF,DJID_1744,133.333333333333,0.333333,0,0,30,30,115,160,1.33333333333333,18,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-OFF,DJID_1744,100,0.222222,0,0,30,30,314,224,0.333333333333333,11.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-OFF,DJID_1744,333.333333333333,0,0,0,30,30,858,224,6,20.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-OFF,DJID_1744,100,0,0,0,30,30,115,224,17,24,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,F-mini-OFF,DJID_1744,200,0.0833333,0,0,30,224,314,82,2,9,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-OFF,DJID_1744,133.333333333333,0,0,0,30,59,224,314,7.66666666666667,24.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,,F-mini-OFF,DJID_2257,100,0,0,0,30,30,82,82,5,14,NaN,NaN
