genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,F-mini-ON,DJID_1503,100,0,0,0,30,30,224,224,16.4,0.4,NaN,NaN
WT,Male,47.8571,Right,VN,F-mini-ON,DJID_1503,166.666666666667,0.0555556,0,0,42,30,160,115,35.1666666666667,12.1666666666667,42,NaN
WT,Female,19.8571,Right,VN,F-mini-ON,DJID_780,366.666666666667,0,7.33333333333333,0,858,30,160,30,22.3333333333333,0,1529,NaN
WT,Male,18.4286,Right,VN,F-mini-ON,DJID_783,300,0,0,0,30,30,224,30,9,0,NaN,NaN
WT,Female,7.4286,Left,DT,F-mini-ON,DJID_1431,300,0,1.33333333333333,0,30,30,82,160,22.3333333333333,6.33333333333333,NaN,NaN
WT,Female,23.7143,Left,DT,F-mini-ON,DJID_1393,266.666666666667,0,5.5,0,30,30,160,115,17,9,NaN,NaN
WT,Female,46.7143,Left,VT,F-mini-ON,DJID_1723,233.333333333333,0,0,0,30,30,115,858,25,1.66666666666667,NaN,NaN
WT,Female,46.7143,Left,DN,F-mini-ON,DJID_1723,200,0,0,0,30,30,224,160,14.6666666666667,0.666666666666667,NaN,NaN
WT,Female,46.7143,Left,VT,F-mini-ON,DJID_1723,166.666666666667,0,0,0,42,30,160,160,23,5,42,NaN
WT,Female,46.7143,Left,VT,F-mini-ON,DJID_1723,100,0,0,0,30,30,115,115,14.6666666666667,2.66666666666667,NaN,NaN
WT,Male,49,Left,DN,F-mini-ON,DJID_1633,200,0.0555556,0,0.333333333333333,30,59,160,30,14,1.66666666666667,NaN,NaN
WT,Male,49,Left,DN,F-mini-ON,DJID_1633,233.333333333333,0,0,0,30,30,160,160,17,2.33333333333333,NaN,NaN
WT,Male,49,Left,VT,F-mini-ON,DJID_1633,200,0,0.333333333333333,0,30,30,115,115,11.3333333333333,5,NaN,NaN
WT,Female,27.1429,Right,VT,F-mini-ON,DJID_2061,220,0.305556,0,0,30,42,160,314,16.3333333333333,8.5,NaN,NaN
WT,Female,27.1429,Right,VT,F-mini-ON,DJID_2061,200,0.0833333,0,0,30,30,160,160,17.75,3.25,NaN,NaN
WT,Female,27.1429,Right,VT,F-mini-ON,DJID_2061,300,0.166667,0,0,30,30,160,42,36,0.333333333333333,NaN,NaN
WT,Female,27.1429,Left,VN,F-mini-ON,DJID_2061,100,0.0555556,0,0,30,30,224,224,7,0.5,NaN,NaN
WT,Female,27.1429,Left,VT,F-mini-ON,DJID_2061,233.333333333333,0,0,0,30,30,115,224,23,1.33333333333333,NaN,NaN
WT,Female,29.1429,Left,VT,F-mini-ON,DJID_2801,166.666666666667,0,0,0,30,30,160,1200,9.33333333333333,2.66666666666667,NaN,NaN
WT,Male,12.5714,Left,VT,F-mini-ON,DJID_3059,233.333333333333,0.111111,0,0,42,30,115,858,14.6666666666667,3.66666666666667,42,NaN
WT,Male,12.5714,Left,VT,F-mini-ON,DJID_3059,233.333333333333,0,0,0,30,30,115,160,14,7,NaN,NaN
WT,Male,14.7143,Left,DN,F-mini-ON,DJID_3144,166.666666666667,0,0,0,30,30,115,160,11.3333333333333,2.25,NaN,NaN
WT,Male,20.1429,Left,DT,F-mini-ON,DJID_3057,333.333333333333,0,0.666666666666667,0,1200,30,82,160,29.6666666666667,2.33333333333333,1268.4,NaN
WT,Male,22.7143,Left,VN,F-mini-ON,DJID_3149,266.666666666667,0,0,0,30,30,115,160,12.6666666666667,2,NaN,NaN
WT,Male,22.7143,Left,VN,F-mini-ON,DJID_3149,300,0,0,0,30,30,115,30,21,0,NaN,NaN
WT,Female,81.2857,Left,DN,F-mini-ON,DJID_2101,266.666666666667,0,0,0,30,30,160,224,28,11.3333333333333,NaN,NaN
WT,Female,81.2857,Left,DN,F-mini-ON,DJID_2101,266.666666666667,1.25556,1.16666666666667,0,30,42,115,858,33.6666666666667,1.5,NaN,NaN
WT,Female,81.2857,Left,DN,F-mini-ON,DJID_2101,333.333333333333,0.777778,0,0,42,30,160,160,20.3333333333333,10.6666666666667,42,NaN
