genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,F-mini-ON,DJID_2004,166.666666666667,0,0,0,30,30,160,30,12,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,F-mini-ON,DJID_2004,200,0,0,0,30,30,160,30,10.6666666666667,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,F-mini-ON,DJID_2004,233.333333333333,0,0,0,30,30,115,314,15.3333333333333,0.333333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,F-mini-ON,DJID_1862,266.666666666667,0,0,0,30,30,115,30,17.3333333333333,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Right,VT,F-mini-ON,DJID_2828,100,0.833333,1.66666666666667,0,30,42,160,224,12.3333333333333,1.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Right,DT,F-mini-ON,DJID_2828,233.333333333333,0,0,0,439,30,115,224,17,0.666666666666667,439,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Right,DT,F-mini-ON,DJID_2828,233.333333333333,0,0,0,439,30,82,30,14.3333333333333,0,439,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Right,DN,F-mini-ON,DJID_2259,166.666666666667,0.722222,3,0,30,30,160,439,8.66666666666667,1,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,39.7143,Left,DN,F-mini-ON,DJID_2249,0,0,0,0,30,30,30,30,0,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,39.7143,Right,DT,F-mini-ON,DJID_2249,233.333333333333,0.777778,3.33333333333333,1.33333333333333,858,59,115,1200,28,17,2238,NaN
Trarg1(Tusc5-eGFP/WT),Female,39.7143,Right,DT,F-mini-ON,DJID_2249,166.666666666667,0,0,0,160,30,59,115,3,1.66666666666667,160,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Right,,F-mini-ON,DJID_3110,45.4545454545455,3.91162,0.909090909090909,0.363636363636364,59,314,314,42,7.27272727272727,5.54545454545455,97.6666666666667,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,F-mini-ON,DJID_3110,266.666666666667,0,0,0,30,30,136,30,12.6666666666667,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Right,DN,F-mini-ON,DJID_3110,160,3.21111,1.33333333333333,3.16666666666667,82,59,224,314,7.16666666666667,9.6,98,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,DT,F-mini-ON,DJID_3106,200,0,0,0,30,30,115,224,14.6666666666667,9,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,DT,F-mini-ON,DJID_3106,283.333333333333,0.472222,1.33333333333333,0.333333333333333,30,59,224,314,15.8333333333333,3.16666666666667,NaN,NaN
