genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0,4,0,858,30,115,30,13.3333333333333,0,2322,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0.111111,5,0,614,30,42,115,17.6666666666667,6.33333333333333,801.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0,2,0,1200,42,82,82,15.6666666666667,10,1713,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,400,0,3.33333333333333,0,1200,30,42,59,19.6666666666667,12.3333333333333,2176.66666666667,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,300,0,1.66666666666667,0,30,30,115,115,23.6666666666667,1,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,233.333333333333,0,0,0,42,42,115,160,17.6666666666667,4.33333333333333,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,266.666666666667,0,2.66666666666667,0,858,30,115,224,17.6666666666667,3.33333333333333,1834,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,F-mini-ON,DJID_1583,200,0,0.333333333333333,0,30,314,82,82,17,10.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,F-mini-ON,DJID_1583,200,2.30556,0,0,42,614,115,59,18.6666666666667,16,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,266.666666666667,0,0,0,314,30,115,115,22,17,314,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,366.666666666667,0,7,0,30,30,160,160,30.3333333333333,5,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,366.666666666667,0,2.33333333333333,0,1200,30,82,115,12.6666666666667,2,2225.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,300,0,2,0,1200,30,115,82,25.3333333333333,1.66666666666667,2226,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,433.333333333333,0,7.33333333333333,0,858,439,59,82,37.6666666666667,22,1529,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,F-mini-ON,DJID_1744,166.666666666667,0.611111,0,0,30,30,160,614,24.6666666666667,18.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-ON,DJID_1744,200,0,0,0,30,30,160,115,19,5,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,F-mini-ON,DJID_1744,133.333333333333,0.625,0,0,30,30,160,1200,26,3.75,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-ON,DJID_1744,166.666666666667,0,0,0,30,30,115,115,25.3333333333333,8.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-ON,DJID_1744,233.333333333333,0,0,0,30,30,160,1200,23.3333333333333,7,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-ON,DJID_1744,300,1.41667,4,0,614,42,59,160,19,5,1392.66666666667,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,71.1429,Right,,F-mini-ON,DJID_1798,200,3.27778,1,0,858,59,82,614,16.3333333333333,15,1224,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,71.1429,Right,DT,F-mini-ON,DJID_1798,100,0,0,0,30,30,160,224,5,2.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,30.1429,Left,VN,F-mini-ON,DJID_2790,150,2.47222,0,0,30,30,439,115,19,5.5,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,30.1429,Left,VN,F-mini-ON,DJID_2790,266.666666666667,0,0,0,30,30,115,160,17.3333333333333,9,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,68.4286,Right,DN,F-mini-ON,DJID_1908,100,0,0,0,30,30,115,314,18.3333333333333,0.333333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,F-mini-ON,DJID_2787,0,0,0,0,30,30,30,30,0,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,F-mini-ON,DJID_2257,300,0,1.33333333333333,0,1200,30,82,160,26.3333333333333,13,1590.66666666667,NaN
