genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,HD2,DJID_1589,366.666666666667,0,12.3333333333333,0,30,614,314,59,26,29.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,HD2,DJID_1640,266.666666666667,0.444444,0.666666666666667,0.666666666666667,30,439,160,82,30.6666666666667,40.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,HD2,DJID_1640,300,1.33333,0,0,30,30,160,160,17.3333333333333,2.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,34.4286,Left,VT,HD2,DJID_2258,266.666666666667,0.333333,4.66666666666667,0,30,858,224,115,13,45.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,34.4286,Left,VT,HD2,DJID_2258,266.666666666667,0.0555556,1.66666666666667,0,30,1200,314,115,13.3333333333333,38,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,30.1429,Left,DN,HD2,DJID_2790,166.666666666667,0.111111,0,0,30,30,160,224,13.6666666666667,16,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,68.4286,Right,DN,HD2,DJID_1908,166.666666666667,0.222222,0,0,42,614,858,224,12.3333333333333,11.3333333333333,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,68.4286,Right,DN,HD2,DJID_1908,133.333333333333,0,0,0,30,30,314,160,6.33333333333333,12.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,25,Right,VN,HD2,DJID_3052,266.666666666667,0,4.66666666666667,0,82,314,224,59,13.3333333333333,32.3333333333333,154.8,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,25,Right,VN,HD2,DJID_3052,233.333333333333,0,4.33333333333333,1,314,30,82,160,9.33333333333333,22,775.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,HD2,DJID_2787,200,0,0,0,30,30,224,224,10.3333333333333,1.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,HD2,DJID_2787,83.3333333333333,0.0277778,0,0,30,30,224,160,5.66666666666667,2.2,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,HD2,DJID_2257,300,0,0,0,30,30,224,115,26.6666666666667,36,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,HD2,DJID_2257,233.333333333333,0.166667,0,0,30,30,224,115,14,15.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,HD2,DJID_2257,233.333333333333,0.777778,1.33333333333333,0,30,42,224,115,15,14.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,DT,HD2,DJID_2257,233.333333333333,0.0555556,0,0,30,439,224,115,15.6666666666667,54.6666666666667,NaN,NaN
