genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,13.1429,Left,DT,Local edge detector,DJID_2045,150,0.0555556,0,0,30,30,160,160,45,3,NaN,NaN
WT,Male,13.1429,Left,DT,Local edge detector,DJID_2045,100,0.111111,0,0,42,30,82,160,13.3333333333333,10,42,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,Local edge detector,DJID_1581,166.666666666667,0.277778,4.33333333333333,0,30,614,160,115,68,8.33333333333333,NaN,NaN
WT,Male,19,Right,VN,Local edge detector,DJID_1255,200,0.0555556,0,0,314,224,115,82,70.6666666666667,33.3333333333333,314,NaN
WT,Male,40.5714,Right,DN,Local edge detector,DJID_66,133.333333333333,0,0,0,30,30,224,82,33.6666666666667,11.3333333333333,NaN,NaN
WT,Male,29,Left,VN,Local edge detector,DJID_1000,200,13.3889,0,15.3333333333333,614,314,115,1200,27,31.3333333333333,614,NaN
WT,Female,23.7143,Left,DN,Local edge detector,DJID_1393,166.666666666667,0,0,0,30,30,224,160,51.6666666666667,24.6666666666667,NaN,NaN
WT,Male,49,Left,DN,Local edge detector,DJID_1633,133.333333333333,0.0555556,0,0,314,30,160,160,31.3333333333333,26.6666666666667,314,NaN
WT,Male,49,Left,VT,Local edge detector,DJID_1633,100,0,0,0,30,30,115,1200,17.3333333333333,4,NaN,NaN
WT,Male,49,Left,DN,Local edge detector,DJID_1633,100,0.25,0,0,30,30,160,160,40,4,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,Local edge detector,DJID_1744,100,1.75,0,0,42,82,224,858,24.5,7,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,Local edge detector,DJID_1744,66.6666666666667,0.944444,0,0.666666666666667,59,42,160,115,9.33333333333333,9,59,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,VN,Local edge detector,DJID_1862,166.666666666667,0,0,0,30,30,160,160,50.3333333333333,38,NaN,NaN
WT,Male,12.5714,Left,VT,Local edge detector,DJID_3059,166.666666666667,3.33333,0.666666666666667,0.333333333333333,30,439,115,115,57,12.5,NaN,NaN
WT,Male,86.4286,Left,DN,Local edge detector,DJID_1976,200,0.277778,0,3.66666666666667,439,439,115,42,56.3333333333333,50.3333333333333,439,NaN
WT,Male,14.7143,Left,DN,Local edge detector,DJID_3144,100,2.22222,2.33333333333333,0,439,42,59,160,13,25.6666666666667,1573,NaN
WT,Male,22.7143,Left,VN,Local edge detector,DJID_3149,100,0,0,0,30,30,160,115,31.3333333333333,13.3333333333333,NaN,NaN
WT,Female,81.2857,Right,DN,Local edge detector,DJID_2101,100,1,0.333333333333333,0.666666666666667,30,30,115,115,19.6666666666667,20,NaN,NaN
WT,Female,81.2857,Right,DN,Local edge detector,DJID_2101,133.333333333333,0.222222,0.666666666666667,0,30,439,160,59,55.6666666666667,23.3333333333333,NaN,NaN
WT,Male,20.1429,Left,DT,Local edge detector,DJID_3057,133.333333333333,0,2,0,30,314,115,82,38.3333333333333,23.3333333333333,NaN,NaN
WT,Female,68.4286,Right,DN,Local edge detector,DJID_1726,166.666666666667,0.0555556,0,0,30,314,160,160,42.3333333333333,54.3333333333333,NaN,NaN
