genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,20,Left,VT,OFF sustained alpha,DJID_1971,166.666666666667,2.16667,0,2,42,30,30,160,1,38,42,NaN
WT,Female,20,Left,VT,OFF sustained alpha,DJID_1971,320,56.025,5.4,49.25,314,30,30,314,50.5,89,487.571428571429,NaN
WT,Female,20,Left,VN,OFF sustained alpha,DJID_1971,200,4.55556,0,5,115,30,30,224,2,50.6666666666667,115,NaN
WT,Male,14.4286,Left,DT,OFF sustained alpha,DJID_1969,200,92.4444,55.3333333333333,83.3333333333333,160,1200,30,224,93,103.333333333333,379.705882352941,NaN
WT,Male,14.4286,Left,,OFF sustained alpha,DJID_1969,333.333333333333,100.722,15,101,314,30,30,224,83,140.666666666667,1326.5,NaN
WT,Female,17.8571,Right,DN,OFF sustained alpha,DJID_1970,266.666666666667,93.7778,5,112,439,42,30,115,57,148.333333333333,857.5,NaN
WT,Female,17.8571,Right,DN,OFF sustained alpha,DJID_1970,300,91.1889,5.66666666666667,152.5,614,30,30,1200,37.25,194.333333333333,1483.61538461538,NaN
WT,Female,17.8571,Right,DN,OFF sustained alpha,DJID_1970,300,98.6364,3,120,314,30,224,115,53,172,441.5,NaN
WT,Male,8,Left,VT,OFF sustained alpha,DJID_2023,233.333333333333,78.9444,9.66666666666667,52.3333333333333,314,1200,30,314,79.3333333333333,99.3333333333333,459,NaN
WT,Male,8,Left,VT,OFF sustained alpha,DJID_2023,200,69.75,5.5,68.3333333333333,314,42,30,1200,70,88.5,335.521739130435,NaN
WT,Male,8,Left,VT,OFF sustained alpha,DJID_2023,233.333333333333,59.2361,27,56.6666666666667,439,82,115,1200,62,73.6666666666667,643.545454545455,NaN
WT,Male,8,Left,VT,OFF sustained alpha,DJID_2023,300,65,5,57,439,42,30,224,73,89,543.166666666667,NaN
WT,Unknown,6.8571,Right,DT,OFF sustained alpha,DJID_2036,233.333333333333,42,1,50.6666666666667,314,30,30,160,24,91,327.5,NaN
WT,Unknown,6.8571,Right,DT,OFF sustained alpha,DJID_2036,200,38.5,1.33333333333333,37,314,30,30,858,23.6666666666667,80.3333333333333,468,NaN
WT,Unknown,6.8571,Right,DT,OFF sustained alpha,DJID_2036,260,87.7389,29,55.4,1200,1200,42,59,84.8333333333333,93.6,25995.0000000001,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,266.666666666667,110.389,16,111,160,59,30,224,105,142,190,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,300,95.5556,8.33333333333333,76.6666666666667,160,1200,30,59,55.6666666666667,111.666666666667,200.178571428571,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,233.333333333333,101.278,19.3333333333333,75.6666666666667,314,224,30,59,98.3333333333333,109,2923.99999999998,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,233.333333333333,91.2222,9.66666666666667,99.3333333333333,160,30,1200,115,62,123,812.499999999999,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,233.333333333333,86.8333,12,88.6666666666667,160,30,30,314,74.6666666666667,104,193.75,NaN
WT,Male,6.4286,Left,DN,OFF sustained alpha,DJID_2038,233.333333333333,48.1111,14,45.6666666666667,314,42,30,1200,49,86,786.5,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,266.666666666667,86.5833,9.66666666666667,91.3333333333333,160,30,30,224,68.6666666666667,114.5,225.25,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,233.333333333333,90.5278,17,55,160,858,30,160,90.5,118,264.318181818182,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,300,113.833,11.3333333333333,117.333333333333,224,30,30,115,100,148.333333333333,496,NaN
WT,Male,6.4286,Left,DT,OFF sustained alpha,DJID_2038,333.333333333333,0.0555556,6.33333333333333,0,30,30,224,224,137.666666666667,13.3333333333333,NaN,NaN
WT,Male,6,Right,DT,OFF sustained alpha,DJID_2039,200,52.6111,3.66666666666667,29.6666666666667,160,59,30,439,54,75.3333333333333,183.833333333333,NaN
