genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,OFF transient small RF,DJID_1582,400,1.54167,0,2,30,1200,82,82,1,50,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,OFF transient small RF,DJID_1582,400,0.722222,0,8,82,30,59,224,2,58.3333333333333,82,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,OFF transient small RF,DJID_1583,100,0,0,0,30,614,858,224,8.33333333333333,10.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,0,0,0,0,30,30,30,30,0,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,300,0,0,0,30,30,82,160,4.33333333333333,27,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,400,4,0.333333333333333,9,224,1200,1200,160,10.3333333333333,58,251.25,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,266.666666666667,0,0,0,614,30,82,160,3,18.3333333333333,614,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,433.333333333333,0,0,0,30,30,1200,160,15,44.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,325,0,0,0,614,30,82,82,28.5,21,614,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,OFF transient small RF,DJID_1589,266.666666666667,0,0,0,115,30,858,160,7,25,115,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,OFF transient small RF,DJID_1640,266.666666666667,3.72222,0,2.33333333333333,59,314,30,115,0.666666666666667,32.6666666666667,59,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,OFF transient small RF,DJID_1640,233.333333333333,0.833333,0,1,30,858,30,160,0,13.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,OFF transient small RF,DJID_1744,233.333333333333,0,0,0,30,30,59,224,1.66666666666667,15.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,OFF transient small RF,DJID_2257,400,0,0,0,30,30,858,224,6.66666666666667,34,NaN,NaN
