genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,ON alpha,DJID_1583,550,0,16,0,30,30,224,314,131.333333333333,3.83333333333333,90.1369863013699,0.167407407407407
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,ON alpha,DJID_1640,466.666666666667,17.1111,25.3333333333333,2,42,42,160,115,162.666666666667,26,67.0342465753425,0.112884834663626
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,ON alpha,DJID_1744,466.666666666667,4.77778,5.33333333333333,1.66666666666667,30,30,439,224,181,13.3333333333333,109.225,0.141955835962145
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,ON alpha,DJID_1744,266.666666666667,12.8333,21.3333333333333,11.6666666666667,30,42,439,858,159,58.6666666666667,121.788793103448,0.171990171990172
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,ON alpha,DJID_1744,400,11.8889,38.6666666666667,6.33333333333333,30,42,224,160,171,12.6666666666667,68.2831325301205,0.06875
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,71.1429,Right,DT,ON alpha,DJID_1798,300,20.7778,47.5,8.5,30,82,858,314,128,22.3333333333333,40.3304347826087,0.0158730158730159
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,68.4286,Right,DN,ON alpha,DJID_1908,433.333333333333,17.1667,47,7.66666666666667,30,115,314,30,160.333333333333,14.3333333333333,92.589552238806,0.0366379310344828
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,VN,ON alpha,DJID_2787,0,0,0,0,30,30,30,30,0,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,ON alpha,DJID_2787,0,0,0,0,30,30,30,30,0,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,ON alpha,DJID_2257,466.666666666667,8.11111,28.6666666666667,4,30,42,224,224,157,13.3333333333333,73.0842696629213,0.0915411355735806
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,17.1429,Left,VN,ON alpha,DJID_2876,233.333333333333,0.611111,3.33333333333333,0,30,42,224,224,92.6666666666667,9.66666666666667,93,0.748427672955975
