genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,19.8571,Right,VN,UHD,DJID_780,85.7142857142857,0.047619,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0.8571428571428571,3.75,5.375,7,2.5714285714285716,0.42857142857142855,1.7142857142857142,2.7142857142857144,1.7142857142857142,1]","[0,0,0.49601587276189668,1.625686668105863,1.4133113526720984,1.5634719199411433,0.87740598917563251,0.46291004988627577,0.90413512124035833,1.1717575999394556,1.0465362369445672,0.57735026918962584]","[0,0,0,1.375,1.375,1.1428571428571428,0.5714285714285714,3,1.1428571428571428,0.14285714285714285,0,0.14285714285714285]","[0,0,0,0.44892161035630485,0.53213087234826217,0.54916964736527607,0.46291004988627588,0.881917103688197,0.43643578047198472,0.15430334996209197,0,0.15430334996209194]",0,0,30,30,160,314,7,3,NaN,NaN
WT,Male,40.5714,Right,DN,UHD,DJID_66,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.5,1.5,7,10.5,14.5,19,7,1,0,0,0,0]","[0.70710678118654757,0.70710678118654757,1.4142135623730951,2.1213203435596424,0.70710678118654757,1.4142135623730949,1.4142135623730951,0.70710678118654746,0,0,0,0]","[0,0,0,7.5,2.5,0.66666666666666663,3.5,0.66666666666666663,0,0,0.5,0.5]","[0,0,0,0.70710678118654757,0.70710678118654757,0.816496580927726,2.1213203435596424,0.816496580927726,0,0,0.70710678118654757,0.70710678118654757]",0,0,439,30,160,82,19,7.5,439,NaN
WT,Female,7.4286,Left,VT,UHD,DJID_1431,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,2.3333333333333335,12,24.333333333333332,26,16.666666666666668,6,1,0,0,0,0]","[0,0.81649658092772592,2.1213203435596424,1.0801234497346432,1.2247448713915889,0.408248290463863,1.4142135623730949,1.2247448713915889,0,0,0,0]","[0,0,10.333333333333334,19.333333333333332,17.333333333333332,10.666666666666666,4.333333333333333,0,0,0.33333333333333331,0,0]","[0,0,3.1885210782848317,4.0207793606049389,2.0412414523193152,1.7795130420052188,1.4719601443879744,0,0,0.408248290463863,0,0]",0,0,30,30,115,82,26,19.3333333333333,NaN,NaN
WT,Female,46.7143,Left,DN,UHD,DJID_1723,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,6.666666666666667,19.666666666666668,26.333333333333332,24.666666666666668,19,4.666666666666667,3.6666666666666665,0,0,1]","[0,0,0.816496580927726,1.4719601443879746,3.3416562759605695,3.62859017617954,3.2403703492039297,1.6329931618554518,1.7795130420052188,0,0,1.2247448713915889]","[0,0,9,23.666666666666668,30,22.333333333333332,11.666666666666666,7,5.666666666666667,6,10.666666666666666,7.666666666666667]","[0,0,2.4494897427831779,2.1602468994692869,0.70710678118654746,1.6329931618554521,1.7795130420052188,0.70710678118654746,2.857738033247041,1.2247448713915889,2.857738033247041,1.6329931618554518]",0,0,30,30,115,115,26.3333333333333,30,NaN,NaN
WT,Male,64.1429,Right,DN,UHD,DJID_1818,266.666666666667,0.222222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3.3333333333333335,3.3333333333333335,3.6666666666666665,8.3333333333333339,8,6,1.6666666666666667,1.6666666666666667,2.3333333333333335,4.333333333333333,6.333333333333333,8.3333333333333339]","[1.0801234497346435,1.0801234497346435,1.7795130420052188,0.816496580927726,1.2247448713915889,0.70710678118654746,0.40824829046386296,0.816496580927726,2.2730302828309754,2.4832774042918895,3.1885210782848317,1.7795130420052188]","[3,4.666666666666667,24,33.333333333333336,28.333333333333332,30,27,30.666666666666668,23.333333333333332,21.666666666666668,22.666666666666668,20.666666666666668]","[1.8708286933869707,0.816496580927726,3.7416573867739413,8.1342895612749526,4.8131763593978834,10.416333327999828,8.6890735984913832,2.48327740429189,7.4944423853057049,8.1955272354294966,7.2226495600068166,6.3377177806105145]",1.66666666666667,3,224,30,82,82,8.33333333333333,33.3333333333333,321,NaN
WT,Male,22.7143,Left,DN,UHD,DJID_3149,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.6666666666666667,10,17,15,6.333333333333333,1.6666666666666667,1.3333333333333333,0,0,0]","[0,0,2.0412414523193148,5.0990195135927845,2.82842712474619,4.3011626335213125,1.0801234497346432,0.816496580927726,1.0801234497346435,0,0,0]","[0,0,0,5.666666666666667,12.333333333333334,9.3333333333333339,2.6666666666666665,1,0,0,0.33333333333333331,0]","[0,0,0,6.9402209378856705,3.1885210782848317,1.0801234497346435,0.408248290463863,1.2247448713915889,0,0,0.408248290463863,0]",0,0,30,30,115,115,17,12.3333333333333,NaN,NaN
WT,Female,81.2857,Right,DN,UHD,DJID_2101,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,17.333333333333332,28.333333333333332,27.333333333333332,13.333333333333334,5.666666666666667,0.66666666666666663,0.33333333333333331,0,0,0,0]","[0,2.857738033247041,3.8944404818493075,3.3416562759605704,3.2659863237109037,0.408248290463863,0.816496580927726,0.408248290463863,0,0,0,0]","[0.33333333333333331,3.3333333333333335,17.666666666666668,28,13.333333333333334,2.6666666666666665,0.33333333333333331,0,0.33333333333333331,0,0,0]","[0.408248290463863,2.0412414523193152,4.708148963941845,4.6368092477478511,1.0801234497346435,0.408248290463863,0.408248290463863,0,0.408248290463863,0,0,0]",0,0,30,314,59,82,28.3333333333333,28,NaN,NaN
WT,Female,81.2857,Right,DT,UHD,DJID_2101,183.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,8.5,12.333333333333334,12,8.6666666666666661,1.5,0,0,0,0,0,0]","[0,2.0928449536456348,1.375984496036686,2.0199009876724152,1.3165611772087666,0.54772255750516607,0,0,0,0,0,0]","[0,0,1.5,6.333333333333333,4,2.3333333333333335,0,0,0.16666666666666666,0,0,0]","[0,0,0.61644140029689753,2.3776739333502674,2.0591260281974,0.73029674334022143,0,0,0.18257418583505536,0,0,0]",0,0,30,30,59,82,12.3333333333333,6.33333333333333,NaN,NaN
WT,Female,81.2857,Right,DN,UHD,DJID_2101,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[9,20.333333333333332,30.333333333333332,33,21.666666666666668,4.333333333333333,1,0.33333333333333331,0,0,0,0]","[6.74536878161602,3.8944404818493066,2.6770630673681683,1.2247448713915889,0.408248290463863,0.408248290463863,0.70710678118654746,0.408248290463863,0,0,0,0]","[0.33333333333333331,2.6666666666666665,20,21,20,1,0.33333333333333331,0,0,0,0,0]","[0.408248290463863,2.6770630673681683,11.575836902790225,6.3639610306789276,7.87400787401181,1.2247448713915889,0.408248290463863,0,0,0,0,0]",0,0,439,314,82,82,33,21,439,NaN
WT,Female,81.2857,Right,DN,UHD,DJID_2101,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15.333333333333334,12.666666666666666,12.333333333333334,12.333333333333334,19.666666666666668,5.333333333333333,3,0.66666666666666663,0,0,0,0]","[1.7795130420052188,0.40824829046386296,0.816496580927726,2.2730302828309754,0.408248290463863,1.4719601443879744,2.4494897427831779,0.408248290463863,0,0,0,0]","[0.33333333333333331,4,12,11.666666666666666,17,0.33333333333333331,0.33333333333333331,0,0,0,0,0.33333333333333331]","[0.408248290463863,3.7416573867739413,1.2247448713915889,1.4719601443879744,1.8708286933869707,0.408248290463863,0.408248290463863,0,0,0,0,0.408248290463863]",0,0,439,314,115,115,19.6666666666667,17,439,NaN
WT,Male,20.1429,Left,DT,UHD,DJID_3057,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1,5,10,14,14.333333333333334,4.666666666666667,0.33333333333333331,0,0,0,0,0]","[1.2247448713915889,2.5495097567963922,2.1213203435596424,2.82842712474619,1.7795130420052183,2.6770630673681683,0.408248290463863,0,0,0,0,0]","[0,0.66666666666666663,5.333333333333333,12,15.666666666666666,10,6.666666666666667,4,10.666666666666666,8.6666666666666661,6.333333333333333,6.666666666666667]","[0,0.816496580927726,3.3416562759605704,4.415880433163923,4.1432676315520176,3.7416573867739413,1.4719601443879744,2.5495097567963922,0.816496580927726,1.0801234497346435,3.8944404818493075,2.9439202887759492]",0,0,314,30,115,115,14.3333333333333,15.6666666666667,314,NaN
WT,Male,23.4286,Left,DN,UHD,DJID_3275,166.666666666667,0.277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,2.3333333333333335,3.6666666666666665,4.666666666666667,6.666666666666667,5.333333333333333,5.666666666666667,4.666666666666667,3,1.6666666666666667,1,2.5]","[0,1.7795130420052188,1.0801234497346435,1.0801234497346432,0.816496580927726,3.2659863237109041,0.408248290463863,0.816496580927726,0.70710678118654746,0.40824829046386296,0,0.70710678118654757]","[0,2.6666666666666665,1.6666666666666667,2.3333333333333335,5,2.3333333333333335,1.6666666666666667,1,1.6666666666666667,0,1,0.5]","[0,2.6770630673681683,0.40824829046386296,1.6329931618554521,0.70710678118654746,1.4719601443879746,0.40824829046386296,0.70710678118654746,1.0801234497346435,0,0.70710678118654746,0.70710678118654757]",0,0,30,30,115,115,6.66666666666667,5,NaN,NaN
