genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,11.7143,Right,DN,F-mini-OFF,DJID_1754,80,0.516667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.25,0,0.5,0.2,0.75,1.4,1,0.33333333333333331,0.8,0.5,2.2,2.6]","[0.28867513459481292,0,0.37416573867739411,0.223606797749979,0.86602540378443871,0.83666002653407556,0.70710678118654757,0.23094010767585033,0.22360679774997896,0.33333333333333331,0.65192024052026487,1.2041594578792296]","[0.25,0.16666666666666666,0.33333333333333331,0.2,0.5,0.6,1,4.166666666666667,5.8,4.5,4.6,4.6]","[0.28867513459481292,0.18257418583505536,0.36514837167011072,0.223606797749979,0.33333333333333331,0.27386127875258309,0.61237243569579447,2.5521232990067961,1.9493588689617929,2.23606797749979,1.036822067666386,0.97467943448089633]",0,0.166666666666667,42,42,1200,439,2.6,5.8,42,NaN
WT,Female,46.7143,Left,DN,F-mini-OFF,DJID_1723,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.3333333333333333,1,1.6666666666666667,1.3333333333333333,0.66666666666666663,0,0,0,0,0]","[0,0,0.40824829046386296,0.70710678118654746,0.40824829046386296,0.816496580927726,0.408248290463863,0,0,0,0,0]","[3.3333333333333335,2.6666666666666665,12.333333333333334,17,17.666666666666668,17,12,10.666666666666666,9.6666666666666661,8.6666666666666661,9.6666666666666661,7.666666666666667]","[2.2730302828309759,0.408248290463863,2.1602468994692865,0.70710678118654746,0.408248290463863,1.4142135623730949,1.2247448713915889,0.816496580927726,1.0801234497346435,2.1602468994692865,2.857738033247041,1.0801234497346432]",0,2.66666666666667,30,42,115,115,1.66666666666667,17.6666666666667,NaN,NaN
WT,Female,46.7143,Left,DN,F-mini-OFF,DJID_1723,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0,0,0,0,0,0,0,0,0,0,0]","[0.408248290463863,0,0,0,0,0,0,0,0,0,0,0]","[1,1.6666666666666667,11,14,18.333333333333332,17.333333333333332,16.333333333333332,9.6666666666666661,5.333333333333333,5.333333333333333,6,8]","[0.70710678118654746,1.4719601443879744,3.0822070014844885,4.415880433163923,1.0801234497346432,2.1602468994692869,1.0801234497346435,0.816496580927726,1.0801234497346432,1.4719601443879744,1.2247448713915889,0.70710678118654746]",0,1,42,30,30,115,0.333333333333333,18.3333333333333,42,NaN
WT,Male,49,Left,VT,F-mini-OFF,DJID_1633,100,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0.33333333333333331,0,0,0,0,0]","[0,0,0,0,0,0,0.408248290463863,0,0,0,0,0]","[0,0.33333333333333331,2,3.3333333333333335,8,4.666666666666667,2.6666666666666665,0.66666666666666663,2.3333333333333335,2,2,0.66666666666666663]","[0,0.408248290463863,0.70710678118654746,1.4719601443879746,0.70710678118654746,1.4719601443879744,0.81649658092772592,0.408248290463863,0.81649658092772592,1.2247448713915889,0,0.408248290463863]",0,0,30,30,224,115,0.333333333333333,8,NaN,NaN
WT,Female,19,Right,VN,F-mini-OFF,DJID_782,80,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.8,5.4,4.8,10.6,2.8,0,0,0,0,0]","[0,0,0.89442719099991586,2.5641762809916169,1.3874436925511608,1.2549900398011133,1.2942179105544784,0,0,0,0,0]","[0,0,0,6,9.6,6.2,1,3.4,7.6,3.8,9.4,9]","[0,0,0,3.8890872965260113,4.6043457732885358,2.7703790354390136,0.35355339059327379,3.52845575287547,4.7775516742365012,1.08397416943394,3.66742416417845,3.856812155135378]",0,0,30,30,160,115,10.6,9.6,NaN,NaN
WT,Male,12.5714,Left,VT,F-mini-OFF,DJID_3059,150,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,null,0,null,0,0,null,0,0,0,0]","[0,0.5,0,3.5,6,5.5,6.5,5,2.5,2.5,3,1]","[0,0.70710678118654757,null,2.1213203435596424,null,0.70710678118654757,0.70710678118654757,null,0.70710678118654757,0.70710678118654757,0,1.4142135623730951]",0,0,30,30,30,224,0,6.5,NaN,NaN
WT,Male,14.7143,Left,DN,F-mini-OFF,DJID_3144,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.3333333333333333,4.333333333333333,5.666666666666667,3.6666666666666665,3,1,0,0,0,0,0]","[0,0.816496580927726,1.0801234497346432,0.408248290463863,1.0801234497346432,1.4142135623730949,0.70710678118654746,0,0,0,0,0]","[0,0,0.33333333333333331,2.3333333333333335,5.333333333333333,3.3333333333333335,1,1,0.33333333333333331,0,0.33333333333333331,0]","[0,0,0.408248290463863,1.0801234497346432,1.7795130420052183,1.4719601443879746,0.70710678118654746,0.70710678118654746,0.408248290463863,0,0.408248290463863,0]",0,0,30,30,82,115,5.66666666666667,5.33333333333333,NaN,NaN
WT,Male,14.7143,Left,DN,F-mini-OFF,DJID_3144,100,0.111111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0.66666666666666663,1,1.5,2.5,1.3333333333333333,0.83333333333333337,0.16666666666666666,0,0,0,0]","[0.36514837167011072,0.36514837167011072,0.565685424949238,0.54772255750516607,0.37416573867739411,0.36514837167011072,0.59441848333756686,0.18257418583505536,0,0,0,0]","[0.5,1.8333333333333333,6.5,8.8333333333333339,10.166666666666666,6.333333333333333,5.333333333333333,2.1666666666666665,1.1666666666666667,1,1,0.5]","[0.37416573867739411,0.77028133388608944,2.2405356502408078,1.9061304607327727,0.95568474578876339,0.541602560309064,0.46188021535170054,0.82056890833941132,0.59441848333756686,0.565685424949238,0.48989794855663554,0.37416573867739411]",0,0.5,439,30,115,115,2.5,10.1666666666667,439,NaN
WT,Male,20.1429,Left,DT,F-mini-OFF,DJID_3057,133.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0.33333333333333331,0.33333333333333331,0,0,0,0,0,0,0]","[0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0]","[0.33333333333333331,0,0.33333333333333331,7.333333333333333,9,7,5.333333333333333,3.6666666666666665,1,1,0.33333333333333331,0]","[0.408248290463863,0,0.408248290463863,1.4719601443879744,1.8708286933869707,0.70710678118654746,3.2659863237109041,1.4719601443879746,1.2247448713915889,1.2247448713915889,0.408248290463863,0]",0,0,30,42,82,115,0.333333333333333,9,NaN,NaN
WT,Male,22.7143,Left,VN,F-mini-OFF,DJID_3149,100,2,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2.3333333333333335,1.3333333333333333,1.3333333333333333,1,0.33333333333333331,0,0,0,0,0,0.33333333333333331,0]","[0.408248290463863,0.40824829046386296,0.40824829046386296,0.70710678118654746,0.408248290463863,0,0,0,0,0,0.408248290463863,0]","[2,3.3333333333333335,3.6666666666666665,3,4.333333333333333,6.333333333333333,9.6666666666666661,9.6666666666666661,14,14.333333333333334,9.3333333333333339,11.333333333333334]","[0.70710678118654746,1.6329931618554521,1.7795130420052188,2.1213203435596424,3.4880749227427246,1.4719601443879744,2.1602468994692865,2.6770630673681683,2.1213203435596424,1.0801234497346435,3.2659863237109037,0.816496580927726]",0,2,160,30,30,614,2.33333333333333,14.3333333333333,160,NaN
