genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,F-mini-OFF,DJID_2009,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,1.3333333333333333,0,0,0.66666666666666663,2.3333333333333335,0.66666666666666663,1.3333333333333333,1.3333333333333333]","[0,0,0,0,1.6329931618554521,0,0,0.816496580927726,1.7795130420052188,0.816496580927726,1.0801234497346435,1.6329931618554521]","[0,2,0,1.6666666666666667,0,13.666666666666666,14.666666666666666,13.333333333333334,4.666666666666667,3.3333333333333335,3.6666666666666665,1]","[0,2.4494897427831779,0,2.0412414523193148,0,3.1885210782848317,1.0801234497346435,1.4719601443879744,3.5590260840104375,2.1602468994692865,2.4832774042918895,1.2247448713915889]",0,0,30,30,439,224,2.33333333333333,14.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VT,F-mini-OFF,DJID_2009,133.333333333333,0.277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,1,0,0,0,0.66666666666666663,0,0,0,0,0,0]","[0.408248290463863,1.2247448713915889,0,0,0,0.816496580927726,0,0,0,0,0,0]","[0.66666666666666663,0,0,2,5.666666666666667,3.6666666666666665,11.666666666666666,11.666666666666666,11,5.666666666666667,4.666666666666667,2.6666666666666665]","[0.408248290463863,0,0,1.8708286933869707,4.2622372841814737,1.7795130420052188,5.6715665090578522,1.4719601443879744,2.5495097567963922,1.4719601443879744,0.816496580927726,2.1602468994692869]",0,0,59,42,42,224,1,11.6666666666667,59,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,F-mini-OFF,DJID_2009,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,1.6666666666666667,5,4,12.666666666666666,9.6666666666666661,7,2,2.6666666666666665,4.666666666666667,9.3333333333333339]","[0,0,2.0412414523193148,3.0822070014844885,2.82842712474619,2.0412414523193148,1.0801234497346435,3.9370039370059051,1.8708286933869707,1.0801234497346432,3.2659863237109041,4.0207793606049389]",0,0,30,30,30,160,0,12.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,F-mini-OFF,DJID_2009,100,0.222222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0.66666666666666663,1,1.6666666666666667,8.3333333333333339,11,14.666666666666666,16,11.666666666666666,9,9,15.333333333333334,14.666666666666666]","[0.816496580927726,0.70710678118654746,2.0412414523193148,2.6770630673681683,2.5495097567963922,2.1602468994692865,0,2.857738033247041,4.415880433163923,5.6124860801609122,1.7795130420052188,3.8944404818493075]",0,0.666666666666667,30,30,30,224,0,16,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,DT,F-mini-OFF,DJID_2004,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1,0,0.33333333333333331,4.333333333333333,5.333333333333333,1.6666666666666667,1,1,0,0.66666666666666663,1.6666666666666667,0]","[1.2247448713915889,0,0.408248290463863,2.1602468994692869,3.5590260840104375,1.0801234497346432,1.2247448713915889,1.2247448713915889,0,0.816496580927726,1.0801234497346432,0]","[0,0,1,5.666666666666667,8.3333333333333339,23.333333333333332,27.333333333333332,25,19,12,6.666666666666667,6]","[0,0,1.2247448713915889,3.1885210782848317,2.857738033247041,1.6329931618554521,1.0801234497346435,1.8708286933869707,1.8708286933869707,1.4142135623730949,0.408248290463863,1.4142135623730949]",0,0,42,30,115,224,5.33333333333333,27.3333333333333,42,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,VN,F-mini-OFF,DJID_1862,100,0.111111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0,0.66666666666666663,2.3333333333333335,0.66666666666666663,0,0,0,0,0,0,0]","[0.408248290463863,0,0.816496580927726,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0]","[0.33333333333333331,0.66666666666666663,1,1.6666666666666667,5.666666666666667,7,6.333333333333333,5,3.6666666666666665,4,3.3333333333333335,9]","[0.408248290463863,0.816496580927726,1.2247448713915889,1.4719601443879744,3.2659863237109041,1.2247448713915889,1.0801234497346432,0,1.0801234497346435,2.1213203435596424,1.0801234497346432,1.4142135623730949]",0,0.333333333333333,42,30,82,1200,2.33333333333333,9,42,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,F-mini-OFF,DJID_1862,100,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,1.6666666666666667,0,0,0,0,0,0,0]","[0,0,0,0,1.4719601443879744,0,0,0,0,0,0,0]","[1,1,10,17.5,15.666666666666666,12,9.5,7.5,7,6,10,6.5]","[1.4142135623730951,1.2247448713915889,1.4142135623730951,10.606601717798213,2.1602468994692865,2.8284271247461903,3.5355339059327378,0.70710678118654757,4.2426406871192848,0,2.8284271247461903,0.70710678118654757]",0,1,30,30,115,82,1.66666666666667,17.5,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,F-mini-OFF,DJID_1862,100,0.5,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,0,0,2.3333333333333335,2.6666666666666665,2.3333333333333335,1,0,0,0,0,0]","[0.816496580927726,0,0,1.4719601443879746,1.0801234497346435,0.408248290463863,0.70710678118654746,0,0,0,0,0]","[1,0.33333333333333331,1,1,1,5,0.33333333333333331,0,0.33333333333333331,0.33333333333333331,1.3333333333333333,2]","[1.2247448713915889,0.408248290463863,0.70710678118654746,0.70710678118654746,0.70710678118654746,3.9370039370059051,0.408248290463863,0,0.408248290463863,0.408248290463863,1.0801234497346435,0.70710678118654746]",0,0,42,314,115,160,2.66666666666667,5,42,NaN
Trarg1(Tusc5-eGFP/WT),Female,78,Left,DN,F-mini-OFF,DJID_2086,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,2.1666666666666665,11.666666666666666,13.166666666666666]","[0,0,0,0,0,0,0,0,0,1.2463279397226612,1.3759844960366863,2.7916542288280137]","[0.66666666666666663,0.16666666666666666,5.333333333333333,17.666666666666668,22.166666666666668,21,19,14.333333333333334,12.5,15.5,15.166666666666666,20.166666666666668]","[0.54160256030906406,0.18257418583505536,2.1664102412362563,2.0132891827388666,1.3976170195491084,1.3266499161421599,0.39999999999999997,1.6653327995729061,2.0149441679609881,1.1575836902790224,2.3734644158557194,1.753092505640627]",0,0.166666666666667,30,42,1200,115,13.1666666666667,22.1666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,F-mini-OFF,DJID_3110,100,0.611111,"[30,136,243,349,455,562,668,775,881,987,1094,1200]","[0,1,0,11,9,9.6666666666666661,10,8.6666666666666661,13,8.6666666666666661,21,11.666666666666666]","[0,0.70710678118654746,0,3.7416573867739413,4.415880433163923,2.4832774042918895,1.2247448713915889,2.857738033247041,6.1237243569579451,4.5460605656619508,4.2426406871192848,4.0207793606049389]","[0,0,0,0.33333333333333331,0.33333333333333331,0,0,0,0,0,0,0.66666666666666663]","[0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0.816496580927726]",0,0,30,30,1094,1200,21,0.666666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Left,VT,F-mini-OFF,DJID_2259,133.333333333333,0.111111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,1.2247448713915889,0]","[0,0,0.66666666666666663,0,0,6,14.666666666666666,21,14.666666666666666,13.333333333333334,10.333333333333334,11.333333333333334]","[0,0,0.816496580927726,0,0,1.8708286933869707,2.1602468994692865,1.2247448713915889,1.4719601443879744,1.6329931618554521,2.6770630673681683,0.40824829046386296]",0,0,30,30,858,314,1,21,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Left,VT,F-mini-OFF,DJID_2259,100,0.277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0.66666666666666663,2.3333333333333335,1.3333333333333333,4.666666666666667,2.3333333333333335,0,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.33333333333333331,3.3333333333333335]","[0.408248290463863,0.408248290463863,1.0801234497346432,1.6329931618554521,0.408248290463863,0.81649658092772592,0,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,2.1602468994692869]","[2,0,0.66666666666666663,3.6666666666666665,11.333333333333334,9,15.333333333333334,14.333333333333334,6.333333333333333,12,11.333333333333334,14]","[2.4494897427831779,0,0.408248290463863,2.1602468994692869,2.2730302828309754,1.8708286933869707,3.1885210782848317,3.8944404818493075,1.0801234497346432,1.8708286933869707,2.2730302828309754,1.8708286933869707]",0,0,224,42,115,224,4.66666666666667,15.3333333333333,224,NaN
Trarg1(Tusc5-eGFP/WT),Female,67.8571,Right,VN,F-mini-OFF,DJID_2782,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,2.3333333333333335,6.666666666666667,2,1.6666666666666667]","[0,0,0,0,0,0,0,0,2.2730302828309759,2.1602468994692865,1.8708286933869707,2.0412414523193148]","[0,3.6666666666666665,4.666666666666667,9.6666666666666661,14.666666666666666,10,4.333333333333333,0,0,0,0,0]","[0,2.2730302828309754,1.0801234497346432,1.7795130420052183,2.1602468994692865,3.0822070014844885,0.816496580927726,0,0,0,0,0]",0,0,30,30,614,115,6.66666666666667,14.6666666666667,NaN,NaN
