genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0.66666666666666663,0.33333333333333331,0.66666666666666663,0,0,0,0,0,0,0]","[0,0,0.816496580927726,0.408248290463863,0.816496580927726,0,0,0,0,0,0,0]","[0,0,0,0,2,8.6666666666666661,17.333333333333332,10,6,5.333333333333333,5,2]","[0,0,0,0,2.4494897427831779,2.1602468994692865,1.4719601443879746,1.4142135623730949,1.8708286933869707,0.408248290463863,0,0.70710678118654746]",0,0,30,30,59,224,0.666666666666667,17.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0.33333333333333331,0.33333333333333331,0,0,0,0,0,0]","[0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0]","[0,0,0,0,0,1.3333333333333333,3,1.3333333333333333,1.6666666666666667,3.6666666666666665,3,1.6666666666666667]","[0,0,0,0,0,1.0801234497346435,1.4142135623730949,1.6329931618554521,0.816496580927726,0.81649658092772592,1.2247448713915889,1.0801234497346435]",0,0,30,30,115,614,0.333333333333333,3.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,66.6666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,1.3333333333333333,2,1.3333333333333333,1.3333333333333333,0,0,0,0,0]","[0,0,0,1.0801234497346435,1.4142135623730949,1.6329931618554521,1.0801234497346435,0,0,0,0,0]","[0,0,0,0,0,0,2.3333333333333335,4,2,4.666666666666667,3.3333333333333335,2.6666666666666665]","[0,0,0,0,0,0,1.4719601443879746,2.5495097567963922,1.2247448713915889,1.0801234497346432,1.7795130420052188,1.7795130420052188]",0,0,30,30,115,614,2,4.66666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-OFF,DJID_1582,66.6666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,1.3333333333333333,1.6666666666666667,0,3.3333333333333335,0.66666666666666663,0,0,0,0,0,0]","[1.4719601443879744,1.6329931618554521,2.0412414523193148,0,2.1602468994692865,0.816496580927726,0,0,0,0,0,0]","[0,0,0,0,2.3333333333333335,1.6666666666666667,3,2,2,3,5.666666666666667,5]","[0,0,0,0,2.2730302828309759,0.40824829046386296,0.70710678118654746,0.70710678118654746,0.70710678118654746,1.2247448713915889,2.1602468994692865,1.8708286933869707]",0,0,82,30,115,858,3.33333333333333,5.66666666666667,82,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,F-mini-OFF,DJID_1583,100,2.77778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0.66666666666666663,0,0,0.66666666666666663,0.33333333333333331,1.3333333333333333,8,4.333333333333333,7.333333333333333,10.333333333333334,7.333333333333333]","[0.408248290463863,0.816496580927726,0,0,0.816496580927726,0.408248290463863,1.6329931618554521,5.3385391260156556,2.857738033247041,4.4907311951024926,5.3072277760302189,2.48327740429189]","[12.333333333333334,6.666666666666667,9,13,27.666666666666668,22.333333333333332,16.666666666666668,7.666666666666667,1.6666666666666667,2.3333333333333335,0.33333333333333331,4]","[8.1955272354294966,2.9439202887759492,4.415880433163923,7.0710678118654746,1.0801234497346435,4.0207793606049389,2.48327740429189,7.0828431202919253,1.4719601443879744,1.0801234497346435,0.408248290463863,2.82842712474619]",0,0.333333333333333,59,858,858,115,10.3333333333333,27.6666666666667,59,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-OFF,DJID_1583,66.6666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0.33333333333333331,1.6666666666666667,1.3333333333333333,1,0,0,0,0,0]","[0,0,0,0.408248290463863,1.0801234497346435,0.40824829046386296,0.70710678118654746,0,0,0,0,0]","[0,0,0,0,0,0,1.3333333333333333,2,0,0,0,0]","[0,0,0,0,0,0,1.6329931618554521,1.4142135623730949,0,0,0,0]",0,0,30,30,115,314,1.66666666666667,2,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-OFF,DJID_1583,66.6666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0.33333333333333331,0.33333333333333331,3,1.3333333333333333,0,0,0,0,0,0]","[0,0,0.408248290463863,0.408248290463863,0.70710678118654746,1.0801234497346432,0,0,0,0,0,0]","[0.66666666666666663,0,0.33333333333333331,0.33333333333333331,3,0,0,0,0,2.6666666666666665,2.3333333333333335,1.3333333333333333]","[0.816496580927726,0,0.408248290463863,0.408248290463863,3.0822070014844885,0,0,0,0,1.0801234497346435,1.4719601443879746,1.0801234497346435]",0,0,30,42,115,115,3,3,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.3333333333333333,6.666666666666667,9,9.6666666666666661,7,6.333333333333333,4.666666666666667,3,1.3333333333333333,0,2,4.333333333333333]","[0.40824829046386296,0.408248290463863,1.2247448713915889,2.1602468994692865,0.70710678118654746,1.0801234497346432,1.0801234497346432,1.2247448713915889,1.0801234497346432,0,1.8708286933869707,2.0412414523193148]","[0,4.666666666666667,16,24,27.333333333333332,23,14.666666666666666,13.333333333333334,10.666666666666666,5.333333333333333,5.333333333333333,3.6666666666666665]","[0,1.6329931618554518,4.415880433163923,3.0822070014844885,2.2730302828309759,2.5495097567963922,1.4719601443879746,1.0801234497346435,1.4719601443879746,1.6329931618554518,2.857738033247041,2.2730302828309759]",0,0,614,30,82,115,9.66666666666667,27.3333333333333,614,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,2.3333333333333335,9.6666666666666661,6.666666666666667,10,6.333333333333333,2.3333333333333335,0.66666666666666663,4.666666666666667,11,13,6.666666666666667]","[0,1.0801234497346432,1.0801234497346435,2.857738033247041,4.6368092477478511,1.6329931618554518,1.0801234497346435,0.816496580927726,5.1153364177409344,2.5495097567963922,4.3011626335213125,2.0412414523193148]","[0.33333333333333331,3.3333333333333335,14,25,25.666666666666668,23,17,15.666666666666666,8.6666666666666661,5,0.66666666666666663,0]","[0.408248290463863,2.4832774042918895,3.6742346141747668,1.2247448713915889,8.37655458208604,4.9497474683058327,0,1.0801234497346435,5.3541261347363367,3.0822070014844885,0.816496580927726,0]",0,0,30,1200,858,115,13,25.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-OFF,DJID_1589,200,1.33333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,9,17,15.5,21.5,15.5,11,3,0,1.5,0.5,0.5]","[0,9.8994949366116654,0,7.7781745930520225,3.5355339059327378,2.1213203435596424,null,2.8284271247461903,0,0.70710678118654757,0.70710678118654757,0.70710678118654757]","[0.5,7,16.5,29,30.5,32,35,18,16,29,22,27.5]","[0.70710678118654757,1.4142135623730951,2.1213203435596424,2.8284271247461903,4.9497474683058327,0,null,9.8994949366116654,5.6568542494923806,7.0710678118654755,7.0710678118654755,9.1923881554251174]",0,0.5,30,30,115,224,21.5,35,NaN,NaN
