genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,F-mini-ON,DJID_1503,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,2.25,10.5,16.4,11.25,6.6,5,4,4.4]","[0,0,0,0,0.98601329718326935,4.2295258468165073,1.7888543819998317,2.3273733406281569,1.2041594578792296,0.47140452079103173,0.47140452079103173,1.2041594578792296]","[0,0,0,0,0,0,0.4,0,0,0,0,0]","[0,0,0,0,0,0,0.44721359549995804,0,0,0,0,0]",0,0,30,30,224,224,16.4,0.4,NaN,NaN
WT,Female,19.8571,Right,VN,F-mini-ON,DJID_780,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[9.6666666666666661,12,11.333333333333334,13.666666666666666,18.333333333333332,22.333333333333332,18,10.666666666666666,10,8.6666666666666661,7.333333333333333,7.666666666666667]","[1.0801234497346435,0.70710678118654746,0.816496580927726,1.7795130420052188,1.4719601443879746,1.0801234497346432,0.70710678118654746,1.0801234497346435,0.70710678118654746,0.40824829046386296,0.408248290463863,0.408248290463863]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",7.33333333333333,0,858,30,160,30,22.3333333333333,0,1529,NaN
WT,Male,18.4286,Right,VN,F-mini-ON,DJID_783,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,1,9,8,5.5,5,5,4.5]","[null,0,null,0,null,null,null,1.4142135623730951,0.70710678118654757,null,null,0.70710678118654757]","[0,0,0,0,0,0,0,0,0,0,0,0]","[null,0,null,0,null,null,null,0,0,null,null,0]",0,0,30,30,224,30,9,0,NaN,NaN
WT,Female,7.4286,Left,DT,F-mini-ON,DJID_1431,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.3333333333333333,7,18,22.333333333333332,19.333333333333332,15.666666666666666,10.666666666666666,7.333333333333333,4.666666666666667,3.3333333333333335,4,3]","[1.6329931618554521,1.2247448713915889,1.8708286933869707,2.48327740429189,0.408248290463863,0.816496580927726,0.40824829046386296,0.408248290463863,0.816496580927726,0.408248290463863,0.70710678118654746,0.70710678118654746]","[0,0,0,0,2.6666666666666665,6.333333333333333,6.333333333333333,1.3333333333333333,0,1,0,0.66666666666666663]","[0,0,0,0,1.7795130420052188,0.408248290463863,0.816496580927726,1.6329931618554521,0,1.2247448713915889,0,0.816496580927726]",1.33333333333333,0,30,30,82,160,22.3333333333333,6.33333333333333,NaN,NaN
WT,Female,23.7143,Left,DT,F-mini-ON,DJID_1393,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[5.5,10.5,13.5,15.333333333333334,14.5,17,15.5,15.333333333333334,12.333333333333334,13,8.6666666666666661,8.6666666666666661]","[2.1213203435596424,2.1213203435596424,0.70710678118654757,0.40824829046386296,0.70710678118654757,1.4142135623730949,3.5355339059327378,0.40824829046386296,1.7795130420052188,0.70710678118654746,1.4719601443879746,1.7795130420052188]","[0,0,6.5,7,9,7.5,7,1,0,0.33333333333333331,0,0]","[0,0,0.70710678118654757,0.70710678118654746,1.4142135623730951,1.2018504251546631,1.4142135623730951,1.2247448713915889,0,0.408248290463863,0,0]",5.5,0,30,30,160,115,17,9,NaN,NaN
WT,Female,46.7143,Left,VT,F-mini-ON,DJID_1723,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,21.666666666666668,25,15,13.666666666666666,12.666666666666666,10.333333333333334,6.333333333333333,1.3333333333333333,1]","[0,0,0,1.0801234497346435,5.3385391260156556,1.8708286933869707,1.7795130420052188,2.4832774042918895,3.488074922742725,2.1602468994692865,1.0801234497346432,1.2247448713915889]","[0,0.33333333333333331,0,0,0,0,0,0,0.66666666666666663,0,1.6666666666666667,0]","[0,0.408248290463863,0,0,0,0,0,0,0.816496580927726,0,2.0412414523193148,0]",0,0,30,30,115,858,25,1.66666666666667,NaN,NaN
WT,Female,46.7143,Left,DN,F-mini-ON,DJID_1723,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,2,10.666666666666666,13,11,11,14.666666666666666,11,7,5.666666666666667,6.666666666666667,5]","[0,1.2247448713915889,1.4719601443879746,1.2247448713915889,0.70710678118654746,0.70710678118654746,0.40824829046386296,0,1.4142135623730949,0.816496580927726,0.408248290463863,0.70710678118654746]","[0,0,0,0,0,0.66666666666666663,0.33333333333333331,0,0,0,0,0]","[0,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0]",0,0,30,30,224,160,14.6666666666667,0.666666666666667,NaN,NaN
WT,Female,46.7143,Left,VT,F-mini-ON,DJID_1723,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1,0,6.333333333333333,14.666666666666666,20.666666666666668,23,10,4.666666666666667,1.3333333333333333,0.33333333333333331,0,0.33333333333333331]","[1.2247448713915889,0,1.4719601443879744,4.0207793606049389,1.6329931618554521,0.70710678118654746,0.70710678118654746,0.816496580927726,1.0801234497346435,0.408248290463863,0,0.408248290463863]","[0,0,0,0.33333333333333331,4.666666666666667,5,3,0.66666666666666663,0.33333333333333331,0,0,0]","[0,0,0,0.408248290463863,0.816496580927726,1.4142135623730949,0.70710678118654746,0.816496580927726,0.408248290463863,0,0,0]",0,0,42,30,160,160,23,5,42,NaN
WT,Female,46.7143,Left,VT,F-mini-ON,DJID_1723,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,4,14.666666666666666,10.333333333333334,8,0.33333333333333331,0,7,0.66666666666666663,0.33333333333333331]","[0,0,0,3.2403703492039297,2.1602468994692865,0.816496580927726,1.2247448713915889,0.408248290463863,0,4.3011626335213125,0.816496580927726,0.408248290463863]","[0,0,0,0,2.6666666666666665,2,1.6666666666666667,0,0,0,0,0]","[0,0,0,0,3.2659863237109041,0.70710678118654746,1.4719601443879744,0,0,0,0,0]",0,0,30,30,115,115,14.6666666666667,2.66666666666667,NaN,NaN
WT,Male,49,Left,DN,F-mini-ON,DJID_1633,200,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.3333333333333333,2.6666666666666665,7,14,10.333333333333334,5,1,1,2,0.66666666666666663]","[0,0,0.40824829046386296,0.408248290463863,1.2247448713915889,3.0822070014844885,1.4719601443879746,1.2247448713915889,1.2247448713915889,0.70710678118654746,0.70710678118654746,0.816496580927726]","[1.6666666666666667,0.66666666666666663,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.66666666666666663,1.6666666666666667,0.66666666666666663,0.33333333333333331,0.66666666666666663,1]","[1.0801234497346432,0.816496580927726,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.816496580927726,1.4719601443879744,0.408248290463863,0.408248290463863,0.816496580927726,0.70710678118654746]",0,0.333333333333333,30,59,160,30,14,1.66666666666667,NaN,NaN
WT,Male,49,Left,DN,F-mini-ON,DJID_1633,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.6666666666666667,10.666666666666666,14.333333333333334,17,16.666666666666668,8.6666666666666661,3.3333333333333335,3,2,3]","[0,0,1.0801234497346435,1.0801234497346435,1.4719601443879744,0.70710678118654746,1.4719601443879746,1.0801234497346435,0.408248290463863,0.70710678118654746,1.4142135623730949,0.70710678118654746]","[0,0,0,0,0.66666666666666663,2.3333333333333335,2.3333333333333335,0.33333333333333331,0.33333333333333331,0,1,1.6666666666666667]","[0,0,0,0,0.816496580927726,0.81649658092772592,1.0801234497346432,0.408248290463863,0.408248290463863,0,1.2247448713915889,1.0801234497346435]",0,0,30,30,160,160,17,2.33333333333333,NaN,NaN
WT,Male,49,Left,VT,F-mini-ON,DJID_1633,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,2.3333333333333335,6,10.666666666666666,11.333333333333334,10.333333333333334,9.3333333333333339,7,5.333333333333333,4.333333333333333,5.333333333333333,5.666666666666667]","[0.408248290463863,1.4719601443879746,3.0822070014844885,1.0801234497346435,0.40824829046386296,0.40824829046386296,0.40824829046386296,0.70710678118654746,1.4719601443879744,0.816496580927726,0.408248290463863,1.4719601443879744]","[0,0,0.33333333333333331,2.6666666666666665,5,2.6666666666666665,1,1,0,0,1.3333333333333333,0.66666666666666663]","[0,0,0.408248290463863,1.0801234497346432,3.0822070014844885,2.6770630673681683,1.2247448713915889,1.2247448713915889,0,0,0.816496580927726,0.816496580927726]",0.333333333333333,0,30,30,115,115,11.3333333333333,5,NaN,NaN
