genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,F-mini-ON,DJID_1503,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,2.25,10.5,16.4,11.25,6.6,5,4,4.4]","[0,0,0,0,0.98601329718326935,4.2295258468165073,1.7888543819998317,2.3273733406281569,1.2041594578792296,0.47140452079103173,0.47140452079103173,1.2041594578792296]","[0,0,0,0,0,0,0.4,0,0,0,0,0]","[0,0,0,0,0,0,0.44721359549995804,0,0,0,0,0]",0,0,30,30,224,224,16.4,0.4,NaN,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,F-mini-ON,DJID_1581,300,4.05556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2,3.6666666666666665,9.6666666666666661,16,16.666666666666668,13.333333333333334,9,6.666666666666667,4.666666666666667,4.333333333333333,3,4]","[0.70710678118654746,1.4719601443879746,1.0801234497346435,0.70710678118654746,0.408248290463863,1.0801234497346435,0.70710678118654746,1.0801234497346432,0.408248290463863,0.408248290463863,0.70710678118654746,0]","[2,2.6666666666666665,0.66666666666666663,0,3.3333333333333335,7,5,3.6666666666666665,2.6666666666666665,3,2.6666666666666665,0]","[0.70710678118654746,1.7795130420052188,0.816496580927726,0,0.81649658092772592,0.70710678118654746,2.1213203435596424,1.4719601443879746,0.81649658092772592,0.70710678118654746,0.408248290463863,0]",2,0,30,82,115,160,16.6666666666667,7,NaN,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,F-mini-ON,DJID_1581,333.333333333333,1.27778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[6,8.6666666666666661,15.666666666666666,19.333333333333332,21.666666666666668,18,8.6666666666666661,5,1.3333333333333333,3.3333333333333335,1,2]","[2.1213203435596424,0.40824829046386296,1.0801234497346435,0.408248290463863,0.408248290463863,1.8708286933869707,0.40824829046386296,0,0.40824829046386296,1.0801234497346432,0.70710678118654746,0.70710678118654746]","[0.33333333333333331,0,0,0.33333333333333331,0.33333333333333331,1.6666666666666667,1.6666666666666667,1.3333333333333333,0,0,0,0]","[0.408248290463863,0,0,0.408248290463863,0.408248290463863,0.816496580927726,0.816496580927726,0.816496580927726,0,0,0,0]",1,0,858,42,115,160,21.6666666666667,1.66666666666667,1486.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12.666666666666666,12.333333333333334,12.666666666666666,13,13.333333333333334,12.666666666666666,9.6666666666666661,8.6666666666666661,5.333333333333333,4.333333333333333,4,4.666666666666667]","[1.0801234497346435,2.4832774042918895,2.1602468994692865,1.2247448713915889,1.4719601443879746,0.816496580927726,1.0801234497346435,0.40824829046386296,0.408248290463863,0.408248290463863,0,0.408248290463863]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",4,0,858,30,115,30,13.3333333333333,0,2322,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0.111111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15.333333333333334,17.666666666666668,16,16,14,12.333333333333334,11.333333333333334,9,7.333333333333333,5,5.333333333333333,5]","[1.0801234497346435,1.4719601443879746,1.8708286933869707,1.2247448713915889,0,0.40824829046386296,0.816496580927726,0.70710678118654746,0.408248290463863,0,0.408248290463863,0.70710678118654746]","[0,0,0,5,6.333333333333333,2,0,0,0,0,0,0.66666666666666663]","[0,0,0,1.8708286933869707,1.6329931618554518,1.2247448713915889,0,0,0,0,0,0.816496580927726]",5,0,614,30,42,115,17.6666666666667,6.33333333333333,801.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[9.3333333333333339,14.333333333333334,13.333333333333334,15.666666666666666,14.666666666666666,13.666666666666666,11.666666666666666,7.333333333333333,5,3.3333333333333335,2.6666666666666665,2]","[1.4719601443879746,2.1602468994692865,0.40824829046386296,1.0801234497346435,1.4719601443879746,0.816496580927726,1.0801234497346435,0.408248290463863,0.70710678118654746,0.408248290463863,0.408248290463863,0.70710678118654746]","[1,0,0.66666666666666663,10,7.333333333333333,0,0,0,0,0,0.33333333333333331,0]","[1.2247448713915889,0,0.816496580927726,6.74536878161602,2.9439202887759492,0,0,0,0,0,0.408248290463863,0]",2,0,1200,42,82,82,15.6666666666667,10,1713,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[18.666666666666668,19.666666666666668,18.333333333333332,17,14.333333333333334,13.333333333333334,10.333333333333334,6,5.333333333333333,4.333333333333333,5,3.3333333333333335]","[0.408248290463863,2.1602468994692869,1.0801234497346432,1.2247448713915889,1.0801234497346435,0.40824829046386296,0.40824829046386296,0,0.408248290463863,0.816496580927726,0.70710678118654746,0.408248290463863]","[0,4,12.333333333333334,8.3333333333333339,3,0,0,0,0.66666666666666663,0,0,0]","[0,2.4494897427831779,2.4832774042918895,1.4719601443879744,0.70710678118654746,0,0,0,0.816496580927726,0,0,0]",3.33333333333333,0,1200,30,42,59,19.6666666666667,12.3333333333333,2176.66666666667,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,5.333333333333333,12,21,23.666666666666668,19.333333333333332,12.666666666666666,7.666666666666667,4.333333333333333,4,2.6666666666666665,2]","[1.4719601443879744,0.408248290463863,3.2403703492039297,1.8708286933869707,0.408248290463863,1.0801234497346435,1.6329931618554521,0.816496580927726,0.408248290463863,0,0.408248290463863,0.70710678118654746]","[0,0,0.33333333333333331,0,1,0,0,0,0,0,0,0]","[0,0,0.408248290463863,0,0.70710678118654746,0,0,0,0,0,0,0]",1.66666666666667,0,30,30,115,115,23.6666666666667,1,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0,4,11.333333333333334,17.666666666666668,13,6.333333333333333,2,2.6666666666666665,0,0,0]","[0.408248290463863,0,1.8708286933869707,1.7795130420052188,0.408248290463863,1.2247448713915889,0.816496580927726,0,1.4719601443879746,0,0,0]","[1,0,0.66666666666666663,1.6666666666666667,1.3333333333333333,4.333333333333333,4,0.66666666666666663,0.66666666666666663,0,0,0]","[0.70710678118654746,0,0.408248290463863,1.0801234497346432,1.6329931618554521,2.6770630673681683,1.8708286933869707,0.816496580927726,0.408248290463863,0,0,0]",0,0,42,42,115,160,17.6666666666667,4.33333333333333,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[4,10.666666666666666,16.333333333333332,17.333333333333332,17.666666666666668,16,11.333333333333334,6,4,3,2.6666666666666665,2.6666666666666665]","[1.4142135623730949,1.0801234497346435,1.7795130420052188,0.408248290463863,1.7795130420052188,0,1.4719601443879744,0.70710678118654746,0,0,0.408248290463863,0.408248290463863]","[0,0,0,0,2.3333333333333335,1.6666666666666667,3.3333333333333335,0,0,0,0,0]","[0,0,0,0,1.7795130420052188,2.0412414523193148,0.408248290463863,0,0,0,0,0]",2.66666666666667,0,858,30,115,224,17.6666666666667,3.33333333333333,1834,NaN
