genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,F-mini-ON,DJID_2004,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.25,0.25,0,7,12,10,7,3.5,4,5,6.75]","[0,0.28867513459481292,0.28867513459481292,0,4.2426406871192848,1.8708286933869707,1.2247448713915889,0.70710678118654746,1.5275252316519468,1.4142135623730949,0.81649658092772615,0.55277079839256671]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,160,30,12,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,F-mini-ON,DJID_2004,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0.66666666666666663,2.6666666666666665,10.666666666666666,8.3333333333333339,6.666666666666667,5,1.6666666666666667,2.6666666666666665,1.6666666666666667]","[0,0,0,0.816496580927726,1.7795130420052188,1.0801234497346435,2.9439202887759488,0.408248290463863,1.2247448713915889,0.40824829046386296,0.408248290463863,0.40824829046386296]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,160,30,10.6666666666667,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,F-mini-ON,DJID_2004,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,1.6666666666666667,7.666666666666667,15.333333333333334,14.333333333333334,9,5.666666666666667,5,4,5,3.3333333333333335]","[0,0.408248290463863,2.0412414523193148,1.7795130420052183,1.6329931618554521,2.1602468994692865,0.70710678118654746,1.0801234497346432,0.70710678118654746,1.8708286933869707,0.70710678118654746,1.0801234497346432]","[0,0,0,0,0,0,0,0.33333333333333331,0,0,0,0]","[0,0,0,0,0,0,0,0.408248290463863,0,0,0,0]",0,0,30,30,115,314,15.3333333333333,0.333333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,F-mini-ON,DJID_1862,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,4.666666666666667,12,17.333333333333332,17.333333333333332,15,8.6666666666666661,2.3333333333333335,4.666666666666667,2.3333333333333335,3.3333333333333335]","[0,0,2.857738033247041,3.0822070014844885,1.4719601443879746,1.0801234497346435,0.70710678118654746,0.40824829046386296,1.0801234497346432,1.0801234497346432,1.0801234497346432,2.1602468994692869]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,115,30,17.3333333333333,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Right,DT,F-mini-ON,DJID_2828,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,1,8.3333333333333339,16.666666666666668,17,11,2.6666666666666665,0.66666666666666663,0,0.66666666666666663,0,0.33333333333333331]","[0.408248290463863,1.2247448713915889,1.7795130420052188,3.488074922742725,2.82842712474619,2.5495097567963922,1.0801234497346435,0.816496580927726,0,0.816496580927726,0,0.408248290463863]","[0,0,0,0,0,0,0.66666666666666663,0.66666666666666663,0,0,0,0]","[0,0,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0]",0,0,439,30,115,224,17,0.666666666666667,439,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Right,,F-mini-ON,DJID_3110,45.4545454545455,3.91162,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.25,3.2727272727272729,0.90909090909090906,1,1.0909090909090908,3,4,7.2727272727272725,4.7272727272727275,2.5454545454545454,5,2.8181818181818183]","[1.121723879932097,2.8145724687451521,0.33028912953790807,0.37416573867739411,0.41120665010540514,1.9390719429665315,0.95916630466254382,1.6376257758774382,1.087114613009218,0.65366101862718362,2.4331050121192876,1.7018706285624756]","[1.5833333333333333,5.5454545454545459,3.2727272727272729,3,3.7272727272727271,1.8181818181818181,2.1818181818181817,0.36363636363636365,0.72727272727272729,0.72727272727272729,0.45454545454545453,4.2727272727272725]","[1.3754538444589537,3.8062150132740431,2.3112373702885174,2.5298221281347035,1.8060504372298638,1.1119188982851385,1.1385796574520539,0.21320071635561041,0.34902461491731757,0.49175012131994617,0.21742292260184359,3.0954512081146075]",0.909090909090909,0.363636363636364,59,314,314,42,7.27272727272727,5.54545454545455,97.6666666666667,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,F-mini-ON,DJID_3110,266.666666666667,0,"[30,136,243,349,455,562,668,775,881,987,1094,1200]","[0,12.666666666666666,4.5,0.16666666666666666,0,0,0,0.5,0.66666666666666663,0,0.5,0.16666666666666666]","[0,0.54160256030906406,0.83666002653407545,0.18257418583505536,0,0,0,0.54772255750516607,0.54160256030906406,0,0.54772255750516607,0.18257418583505536]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,136,30,12.6666666666667,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Right,DN,F-mini-ON,DJID_3110,160,3.21111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3.3333333333333335,3,3.8333333333333335,1.3333333333333333,1.6,5,7.166666666666667,5.4,5.2,5.5,5,5.833333333333333]","[0.78315600829804866,0.69282032302755092,0.95568474578876317,0.541602560309064,0.67082039324993692,0.63245553203367588,0.7164728420068226,0.57008771254956891,0.54772255750516607,1.0099504938362076,1.2649110640673518,0.77028133388608944]","[4,4.333333333333333,3.1666666666666665,3.6666666666666665,4.6,3.6666666666666665,3.8333333333333335,9.6,7,3.8333333333333335,3.1666666666666665,3.5]","[0.39999999999999997,1.4605934866804429,0.43969686527576396,0.541602560309064,0.758287544405155,0.73029674334022143,0.65828058860438321,0.44721359549995787,1,0.99666109251507029,0.52281290471193742,0.92736184954957024]",1.33333333333333,3.16666666666667,82,59,224,314,7.16666666666667,9.6,98,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,DT,F-mini-ON,DJID_3106,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.5,4.5,9.5,14.666666666666666,11.333333333333334,10.714285714285714,5.8,1.5,0.8,1.8333333333333333,0.14285714285714285]","[0,0.37416573867739411,1.5684387141358123,3.3555923471125033,2.5871477215909673,1.4605934866804429,0.87287156094396945,0.65192024052026487,0.83666002653407545,0.651920240520265,1.2780193008453877,0.15430334996209194]","[0,0,0,1.8333333333333333,6.833333333333333,7.333333333333333,9,5,2.1666666666666665,0.8,0.16666666666666666,0.14285714285714285]","[0,0,0,0.9128709291752769,3.0386400466875529,1.6165807537309522,1,1.2747548783981961,0.95568474578876339,0.89442719099991608,0.18257418583505536,0.15430334996209194]",0,0,30,30,115,224,14.6666666666667,9,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,DT,F-mini-ON,DJID_3106,200,0.0833333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.16666666666666666,3.3333333333333335,11.2,17.833333333333332,17.4,9.3333333333333339,2,2,4.5,4,3.3333333333333335]","[0,0.18257418583505536,1.4047538337136984,2.5347583711273152,2.5364016506329068,3.2326459750489227,1.5663120165960973,0.48989794855663554,1.5491933384829666,1.6186414056238643,1.16619037896906,1.6411378166788226]","[0,0.16666666666666666,0,0,0.83333333333333337,2.6,5,1.6666666666666667,0,0,0,0]","[0,0.18257418583505536,0,0,0.4396968652757639,1.7175564037317668,2.0784609690826525,0.832666399786453,0,0,0,0]",0,0,30,30,115,224,17.8333333333333,5,NaN,NaN
