genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,HD2,DJID_1589,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12.333333333333334,16,22.666666666666668,14.666666666666666,12.333333333333334,14,23.333333333333332,26,19.333333333333332,15.666666666666666,15.333333333333334,13]","[2.9439202887759488,0.70710678118654746,1.4719601443879746,1.4719601443879746,2.857738033247041,2.5495097567963922,4.8131763593978834,1.2247448713915889,1.4719601443879746,2.1602468994692865,2.6770630673681683,1.8708286933869707]","[3,16.666666666666668,29.666666666666668,19,12,12.666666666666666,6.333333333333333,2.6666666666666665,0.66666666666666663,0,0,0.33333333333333331]","[0.70710678118654746,2.48327740429189,2.1602468994692869,0.70710678118654746,2.4494897427831779,1.0801234497346435,1.0801234497346432,1.0801234497346432,0.816496580927726,0,0,0.408248290463863]",12.3333333333333,0,30,614,314,59,26,29.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,HD2,DJID_1640,266.666666666667,0.444444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,1.6666666666666667,6.666666666666667,19.333333333333332,22.333333333333332,30.666666666666668,25.333333333333332,8.6666666666666661,4,5,3.3333333333333335,6.333333333333333]","[0.816496580927726,0.40824829046386296,0.816496580927726,1.0801234497346432,3.5590260840104375,4.0824829046386295,3.1885210782848317,1.4719601443879746,1.2247448713915889,1.2247448713915889,0.408248290463863,0.816496580927726]","[2,1.6666666666666667,16,40.666666666666664,39.666666666666664,32.666666666666664,5.333333333333333,1,0.66666666666666663,1.3333333333333333,2,2]","[0.70710678118654746,1.4719601443879744,1.4142135623730949,5.3541261347363367,21.521307271322218,5.4924190177613594,1.4719601443879744,0,0.816496580927726,0.40824829046386296,0.70710678118654746,0.70710678118654746]",0.666666666666667,0.666666666666667,30,439,160,82,30.6666666666667,40.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,25,Right,VN,HD2,DJID_3052,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[6.333333333333333,7,7.333333333333333,4.666666666666667,6,9,13.333333333333334,9.6666666666666661,8,8.6666666666666661,8,8]","[1.4719601443879744,2.4494897427831779,0.408248290463863,1.7795130420052183,0.70710678118654746,0.70710678118654746,2.0412414523193148,1.4719601443879746,0.70710678118654746,2.0412414523193148,0.70710678118654746,0.70710678118654746]","[15.666666666666666,26,32.333333333333336,31.666666666666668,20,7,0.33333333333333331,0,0.33333333333333331,0.66666666666666663,6.333333333333333,6]","[8.78445596873629,4.3011626335213125,1.4719601443879744,5.3072277760302189,5.65685424949238,2.5495097567963922,0.408248290463863,0,0.408248290463863,0.816496580927726,2.0412414523193148,1.2247448713915889]",4.66666666666667,0,82,314,224,59,13.3333333333333,32.3333333333333,154.8,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,25,Right,VN,HD2,DJID_3052,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[5.666666666666667,8.6666666666666661,8.6666666666666661,9.3333333333333339,8.6666666666666661,7,6.666666666666667,4.333333333333333,4.333333333333333,4.333333333333333,6,7.333333333333333]","[1.4719601443879744,1.4719601443879746,0.40824829046386296,1.0801234497346435,0.40824829046386296,1.2247448713915889,0.408248290463863,0.408248290463863,1.0801234497346432,0.816496580927726,0.70710678118654746,1.0801234497346432]","[1,2.6666666666666665,6.666666666666667,8.6666666666666661,17.333333333333332,22,18.333333333333332,11,6.666666666666667,3.6666666666666665,6.666666666666667,4.333333333333333]","[0.70710678118654746,0.81649658092772592,0.408248290463863,2.4832774042918895,2.857738033247041,1.8708286933869707,2.48327740429189,1.2247448713915889,2.1602468994692869,1.0801234497346432,2.0412414523193148,1.6329931618554518]",4.33333333333333,1,314,30,82,160,9.33333333333333,22,775.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,HD2,DJID_2787,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,1.3333333333333333,2.6666666666666665,7,10.333333333333334,8.6666666666666661,7,4,5.666666666666667,4.666666666666667]","[0,0,0,1.0801234497346432,3.2659863237109041,2.4494897427831779,4.3204937989385739,3.5590260840104366,4.9497474683058327,2.4494897427831779,2.2730302828309759,0.408248290463863]","[0,0,0,0,0,1,1.3333333333333333,0,0,0,0,0]","[0,0,0,0,0,1.2247448713915889,1.6329931618554521,0,0,0,0,0]",0,0,30,30,224,224,10.3333333333333,1.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,HD2,DJID_2787,83.3333333333333,0.0277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0.2,5.666666666666667,3.3333333333333335,0.66666666666666663,0.16666666666666666,0,0]","[0,0,0,0,0,0.223606797749979,2.0132891827388666,1.375984496036686,0.36514837167011072,0.18257418583505536,0,0]","[0,0,0,0,0,2.2,1.1666666666666667,0.83333333333333337,0,1,0.33333333333333331,0]","[0,0,0,0,0,1.1401754250991378,0.71647284200682249,0.33665016461206926,0,0.89442719099991586,0.36514837167011072,0]",0,0,30,30,224,160,5.66666666666667,2.2,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,HD2,DJID_2257,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.66666666666666663,2.6666666666666665,3.3333333333333335,9,18,26.666666666666668,19,9.3333333333333339,8.3333333333333339,8.6666666666666661,7.333333333333333]","[0,0.408248290463863,1.0801234497346435,0.408248290463863,0.70710678118654746,2.5495097567963922,0.81649658092772592,1.4142135623730949,0.816496580927726,0.816496580927726,1.4719601443879746,1.4719601443879744]","[0,0,10,24.666666666666668,36,23,14,4,0,0,0,0]","[0,0,4.6368092477478511,6.97614984548545,3.6742346141747668,3.0822070014844885,0.70710678118654746,0.70710678118654746,0,0,0,0]",0,0,30,30,224,115,26.6666666666667,36,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,HD2,DJID_2257,233.333333333333,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,1,2,4.333333333333333,9,14,11,7.666666666666667,4,3.6666666666666665,5]","[0,0.408248290463863,1.2247448713915889,1.4142135623730949,0.408248290463863,1.8708286933869707,0,0.70710678118654746,0.816496580927726,0.70710678118654746,0.408248290463863,1.2247448713915889]","[0,0,4.333333333333333,14.666666666666666,15.666666666666666,6,3.6666666666666665,0,0,0,0,0]","[0,0,2.2730302828309759,3.1885210782848317,1.4719601443879744,3.2403703492039297,0.408248290463863,0,0,0,0,0]",0,0,30,30,224,115,14,15.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,HD2,DJID_2257,233.333333333333,0.777778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.3333333333333333,1.3333333333333333,4.666666666666667,3.6666666666666665,6,8,15,13.333333333333334,8.6666666666666661,6.666666666666667,7,6]","[0.816496580927726,1.0801234497346432,0.408248290463863,0.81649658092772592,1.4142135623730949,0.70710678118654746,0.70710678118654746,1.0801234497346435,1.0801234497346435,1.6329931618554518,0,0.70710678118654746]","[1.3333333333333333,0,0.33333333333333331,7.333333333333333,14.333333333333334,9.3333333333333339,2,0.33333333333333331,0,0,0,0]","[0.816496580927726,0,0.408248290463863,3.4880749227427246,2.4832774042918895,1.0801234497346435,0.70710678118654746,0.408248290463863,0,0,0,0]",1.33333333333333,0,30,42,224,115,15,14.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,DT,HD2,DJID_2257,233.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,2,0.66666666666666663,3.6666666666666665,12,15.666666666666666,11.333333333333334,6.333333333333333,7,7,6.333333333333333]","[0,0.408248290463863,1.4142135623730949,0.408248290463863,0.408248290463863,2.4494897427831779,0.40824829046386296,0.40824829046386296,0.816496580927726,0,0.70710678118654746,1.4719601443879744]","[0.33333333333333331,5.333333333333333,32.666666666666664,42.333333333333336,54.666666666666664,39.666666666666664,15.333333333333334,0.33333333333333331,0,0,0,0]","[0.408248290463863,2.48327740429189,10.303721010715821,4.708148963941845,3.3416562759605704,4.8131763593978834,1.4719601443879746,0.408248290463863,0,0,0,0]",0,0,30,439,224,115,15.6666666666667,54.6666666666667,NaN,NaN
