genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,13.1429,Left,DT,Local edge detector,DJID_2045,150,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,2,24.5,27,45,32,12.5,2,1.5,1,0]","[0,0,1.4142135623730951,10.606601717798213,8.48528137423857,1.4142135623730951,2.4494897427831779,0.70710678118654757,1.4142135623730951,2.1213203435596424,0,0]","[0,0,0,0,0,3,2,0,0,0,0,0]","[0,0,0,0,0,2.8284271247461903,1.4142135623730949,0,0,0,0,0]",0,0,30,30,160,160,45,3,NaN,NaN
WT,Male,19,Right,VN,Local edge detector,DJID_1255,200,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15.666666666666666,19.333333333333332,51.666666666666664,56.666666666666664,70.666666666666671,28,9.3333333333333339,0,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.33333333333333331]","[6.7946057035465026,5.1153364177409353,2.0412414523193148,4.6007245806140871,0.816496580927726,1.4142135623730949,2.9439202887759488,0,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863]","[20.666666666666668,19,26.666666666666668,33.333333333333336,26,5.333333333333333,0,0,0,0,0,0]","[22.905603390145966,6.2849025449882667,7.1180521680208733,4.5460605656619517,8.3366660002665327,1.7795130420052183,0,0,0,0,0,0]",0,0,314,224,115,82,70.6666666666667,33.3333333333333,314,NaN
WT,Male,40.5714,Right,DN,Local edge detector,DJID_66,133.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,5,20.333333333333332,27.333333333333332,32,33.666666666666664,16.333333333333332,0,0,0,0]","[0,0,1.2247448713915889,5.715476066494082,4.8131763593978834,1.8708286933869707,2.1602468994692869,3.8944404818493075,0,0,0,0]","[0,0,1.3333333333333333,11.333333333333334,10.666666666666666,1,0,0,0,0,0,0]","[0,0,1.0801234497346435,5.4006172486732167,3.3416562759605695,1.2247448713915889,0,0,0,0,0,0]",0,0,30,30,224,82,33.6666666666667,11.3333333333333,NaN,NaN
WT,Male,29,Left,VN,Local edge detector,DJID_1000,200,13.3889,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15,18,18.666666666666668,16.333333333333332,27,9.3333333333333339,4.666666666666667,1.6666666666666667,0.33333333333333331,0,5,7]","[2.5495097567963922,1.2247448713915889,6.0964470527239607,2.1602468994692869,2.5495097567963922,1.0801234497346435,0.816496580927726,0.816496580927726,0.408248290463863,0,2.4494897427831779,3.7416573867739413]","[16.666666666666668,20.333333333333332,23.333333333333332,21.333333333333332,18,20,18.666666666666668,15.333333333333334,19,23,25.333333333333332,31.333333333333332]","[5.8878405775518976,2.2730302828309759,1.6329931618554521,1.7795130420052188,1.4142135623730949,2.4494897427831779,3.4880749227427246,2.1602468994692865,3.6742346141747668,1.2247448713915889,0.408248290463863,2.6770630673681683]",0,15.3333333333333,614,314,115,1200,27,31.3333333333333,614,NaN
WT,Female,23.7143,Left,DN,Local edge detector,DJID_1393,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,3.3333333333333335,2.6666666666666665,6.333333333333333,23.333333333333332,30.666666666666668,51.666666666666664,48,27.666666666666668,21.333333333333332,16,16.333333333333332]","[0,2.0412414523193152,2.6770630673681683,1.0801234497346432,1.4719601443879746,3.3416562759605695,3.488074922742725,2.5495097567963922,1.6329931618554521,2.857738033247041,1.2247448713915889,1.4719601443879746]","[0,0,0,1.6666666666666667,16.666666666666668,24.666666666666668,24,23,16.666666666666668,7.333333333333333,7.666666666666667,7.666666666666667]","[0,0,0,1.0801234497346432,7.6267074590983661,6.5701344481423405,2.1213203435596424,3.7416573867739413,2.2730302828309759,2.6770630673681683,2.0412414523193148,1.6329931618554518]",0,0,30,30,224,160,51.6666666666667,24.6666666666667,NaN,NaN
WT,Male,49,Left,DN,Local edge detector,DJID_1633,133.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,4,11.333333333333334,13,28.333333333333332,31.333333333333332,11.333333333333334,0,0,0,0,0]","[2.0412414523193148,4.8989794855663558,8.4360338232291756,3.2403703492039297,5.4924190177613594,3.8944404818493075,1.6329931618554521,0,0,0,0,0]","[0,0,3.6666666666666665,8.3333333333333339,25.333333333333332,26.666666666666668,0.33333333333333331,0,0,0,0,0]","[0,0,4.4907311951024926,9.6003472159431116,8.1955272354294983,7.6267074590983661,0.408248290463863,0,0,0,0,0]",0,0,314,30,160,160,31.3333333333333,26.6666666666667,314,NaN
WT,Male,49,Left,VT,Local edge detector,DJID_1633,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,4,12.333333333333334,17.333333333333332,11,2,0,0,0,0,0]","[0,0,1.8708286933869707,4.708148963941845,2.48327740429189,2.5495097567963922,0.70710678118654746,0,0,0,0,0]","[0,0,0.66666666666666663,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.6666666666666667,1,1.3333333333333333,0,0,4]","[0,0,0.816496580927726,1.4719601443879746,2.2730302828309759,1.6329931618554521,1.0801234497346435,0.70710678118654746,1.6329931618554521,0,0,3.7416573867739413]",0,0,30,30,115,1200,17.3333333333333,4,NaN,NaN
WT,Male,49,Left,DN,Local edge detector,DJID_1633,100,0.25,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,2.6666666666666665,9,8,40,13,11.333333333333334,4.5,2.3333333333333335,0,1.5]","[0,null,3.2659863237109041,11.313708498984761,11.313708498984761,56.568542494923804,null,1.6329931618554521,2.1213203435596424,2.2730302828309754,0,2.1213203435596424]","[0,0,0,0,0,4,0,0,0,0,0,0]","[0,null,0,0,0,5.6568542494923806,null,0,0,0,0,0]",0,0,30,30,160,160,40,4,NaN,NaN
WT,Male,12.5714,Left,VT,Local edge detector,DJID_3059,166.666666666667,3.33333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,2.3333333333333335,11,56.333333333333336,57,50.25,24.75,6.333333333333333,1.3333333333333333,3.25,2,8]","[0.816496580927726,2.857738033247041,1.8708286933869707,3.488074922742725,7.086763875156433,2.4664414311581235,3.8693955887479667,2.48327740429189,0.40824829046386296,1.2801909579781015,0.70710678118654746,4.2426406871192848]","[1,3.3333333333333335,2.3333333333333335,4.333333333333333,12.5,1.5,0.5,0.66666666666666663,0.33333333333333331,1.75,1,3.6666666666666665]","[1.2247448713915889,2.2730302828309759,1.4719601443879746,0.816496580927726,2.9249881291307078,1.1055415967851334,0.57735026918962584,0.816496580927726,0.408248290463863,0.98601329718326935,1.2247448713915889,2.2730302828309759]",0.666666666666667,0.333333333333333,30,439,115,115,57,12.5,NaN,NaN
WT,Male,86.4286,Left,DN,Local edge detector,DJID_1976,200,0.277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[27.333333333333332,54.666666666666664,42,39,56.333333333333336,14.666666666666666,5,2,0,0,0.33333333333333331,0.33333333333333331]","[5.8878405775518976,1.0801234497346432,5.6124860801609122,0.70710678118654746,7.118052168020875,4.320493798938573,2.5495097567963922,1.2247448713915889,0,0,0.408248290463863,0.408248290463863]","[34.333333333333336,50.333333333333336,24,23.666666666666668,47,25,4.666666666666667,9,3.6666666666666665,6.666666666666667,5,8]","[7.5608641481425041,1.7795130420052183,3.0822070014844885,3.8944404818493075,8.3366660002665327,7.3484692283495336,2.2730302828309759,1.8708286933869707,4.4907311951024926,0.816496580927726,2.5495097567963922,4.415880433163923]",0,3.66666666666667,439,439,115,42,56.3333333333333,50.3333333333333,439,NaN
