genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,OFF transient medium RF,DJID_1503,166.666666666667,3.16667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3.3333333333333335,1.6666666666666667,2.6666666666666665,2.3333333333333335,1.3333333333333333,0,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.66666666666666663,0.33333333333333331]","[1.4719601443879746,0.816496580927726,2.1602468994692869,1.0801234497346432,1.6329931618554521,0,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.816496580927726,0.408248290463863]","[5.333333333333333,4.333333333333333,5.666666666666667,8.3333333333333339,14.666666666666666,26.333333333333332,26.666666666666668,26,23.333333333333332,25,27,21.666666666666668]","[0.816496580927726,2.1602468994692865,2.1602468994692865,0.40824829046386296,1.0801234497346435,1.0801234497346435,1.7795130420052188,2.5495097567963922,2.857738033247041,3.6742346141747668,1.2247448713915889,2.0412414523193152]",0,4.33333333333333,160,42,30,858,3.33333333333333,27,160,NaN
WT,Male,8,Left,VT,OFF transient medium RF,DJID_2023,400,7.72222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[8.3333333333333339,8,9.6666666666666661,8.6666666666666661,6.666666666666667,6.333333333333333,4.666666666666667,3.6666666666666665,4.666666666666667,11,11,10]","[1.0801234497346435,0.70710678118654746,2.1602468994692865,1.0801234497346435,0.408248290463863,1.4719601443879744,1.0801234497346432,1.0801234497346432,0.816496580927726,3.5355339059327373,1.4142135623730949,1.8708286933869707]","[7.333333333333333,9,10.333333333333334,15.666666666666666,19.333333333333332,25.333333333333332,25.333333333333332,25.333333333333332,23.333333333333332,20,19.666666666666668,20]","[0.408248290463863,0.70710678118654746,1.0801234497346435,1.0801234497346435,0.408248290463863,1.0801234497346432,0.408248290463863,1.0801234497346435,1.0801234497346432,2.1213203435596424,1.4719601443879746,1.8708286933869707]",3.66666666666667,7.33333333333333,314,30,614,160,11,25.3333333333333,479,NaN
WT,Female,22.5714,Right,VN,OFF transient medium RF,DJID_75,366.666666666667,1.44444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,0,0,0,0,0,0.33333333333333331,1.3333333333333333,1,0,0]","[0,0.408248290463863,0,0,0,0,0,0.408248290463863,0.816496580927726,1.2247448713915889,0,0]","[4.666666666666667,8.6666666666666661,14,20.333333333333332,29,38.333333333333336,50,44.666666666666664,29.666666666666668,18.666666666666668,12,8.6666666666666661]","[2.2730302828309759,2.2730302828309754,0.70710678118654746,2.48327740429189,1.8708286933869707,0.408248290463863,3.2403703492039297,0.816496580927726,2.0412414523193152,2.6770630673681683,0.70710678118654746,1.4719601443879746]",0,4.66666666666667,30,30,439,224,1.33333333333333,50,NaN,NaN
WT,Female,46.7143,Left,DN,OFF transient medium RF,DJID_1723,400,1.05556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,1,3,1.6666666666666667,0,0,0,0,1,1.6666666666666667,0.66666666666666663,6]","[0.816496580927726,1.2247448713915889,0.70710678118654746,1.4719601443879744,0,0,0,0,1.2247448713915889,1.4719601443879744,0.816496580927726,1.2247448713915889]","[0,1.3333333333333333,8,18.666666666666668,28.333333333333332,38.666666666666664,44,45,35,26.333333333333332,23.333333333333332,17.333333333333332]","[0,1.0801234497346435,3.7416573867739413,1.4719601443879746,2.1602468994692869,1.0801234497346432,0.70710678118654746,0.70710678118654746,1.8708286933869707,1.4719601443879746,4.5460605656619508,1.7795130420052188]",0,0,115,30,1200,314,6,45,115,NaN
WT,Male,49,Left,DN,OFF transient medium RF,DJID_1633,133.333333333333,0.388889,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0.33333333333333331,0,1.3333333333333333,0.33333333333333331,0.33333333333333331,0,0,1.3333333333333333,1.3333333333333333,0]","[0,0,0.408248290463863,0,1.0801234497346435,0.408248290463863,0.408248290463863,0,0,1.0801234497346435,1.0801234497346435,0]","[0,0,4,10,14,16.666666666666668,12.666666666666666,10.333333333333334,4.333333333333333,5.666666666666667,0,3.6666666666666665]","[0,0,4.8989794855663558,12.24744871391589,8.031189202104505,7.7888809636986149,9.2014491612281741,2.6770630673681683,2.857738033247041,3.8944404818493075,0,4.4907311951024926]",0,0,30,30,115,160,1.33333333333333,16.6666666666667,NaN,NaN
WT,Male,55.5714,Left,DN,OFF transient medium RF,DJID_1832,400,0.111111,"[30,136,243,349,455,562,668,775,881,987,1094,1200]","[0,0,0,0,0,0,1.6666666666666667,2.6666666666666665,2.3333333333333335,1.3333333333333333,0.33333333333333331,1]","[0,0,0,0,0,0,1.0801234497346435,0.408248290463863,2.857738033247041,1.0801234497346432,0.408248290463863,1.2247448713915889]","[5,21.333333333333332,27,23,17.666666666666668,16,12.666666666666666,11.333333333333334,10,8,10.666666666666666,8.3333333333333339]","[1.4142135623730949,0.81649658092772592,1.2247448713915889,0.70710678118654746,1.4719601443879746,0.70710678118654746,2.1602468994692865,0.40824829046386296,1.2247448713915889,2.5495097567963922,0.40824829046386296,1.7795130420052183]",0,5,30,30,775,243,2.66666666666667,27,NaN,NaN
WT,Male,66.4286,Left,DT,OFF transient medium RF,DJID_1614,366.666666666667,0.611111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2.3333333333333335,0,0,0,0,0.66666666666666663,0.33333333333333331,0,0,0,0,0]","[2.857738033247041,0,0,0,0,0.816496580927726,0.408248290463863,0,0,0,0,0]","[13,22.666666666666668,33.333333333333336,48,58.666666666666664,63.333333333333336,59.666666666666664,42.666666666666664,19.333333333333332,16.333333333333332,16.333333333333332,14.666666666666666]","[3.7416573867739413,1.7795130420052188,0.408248290463863,1.8708286933869707,2.857738033247041,2.9439202887759492,2.0412414523193148,1.6329931618554518,3.4880749227427246,1.0801234497346435,2.48327740429189,2.9439202887759488]",0,13,42,30,30,160,2.33333333333333,63.3333333333333,42,NaN
WT,Female,68.2857,Left,VT,OFF transient medium RF,DJID_1725,433.333333333333,26.3333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[24.333333333333332,24,18,20.666666666666668,17.666666666666668,15.333333333333334,17,14.666666666666666,17.333333333333332,16.666666666666668,19.666666666666668,16.333333333333332]","[4.8131763593978834,4.3011626335213125,2.1213203435596424,1.0801234497346435,5.4006172486732167,2.1602468994692865,3.5355339059327373,2.857738033247041,2.6770630673681683,2.2730302828309759,4.7081489639418441,2.1602468994692869]","[30.333333333333332,31.333333333333332,37.333333333333336,39.666666666666664,46,45.333333333333336,43.333333333333336,39,40.666666666666664,41.333333333333336,45.666666666666664,42.666666666666664]","[4.2622372841814729,2.857738033247041,2.857738033247041,3.488074922742725,1.4142135623730949,1.4719601443879744,2.9439202887759492,1.4142135623730949,0.816496580927726,4.0207793606049389,1.4719601443879744,2.2730302828309754]",14.6666666666667,30.3333333333333,314,30,30,115,24.3333333333333,46,2008,NaN
WT,Female,29.1429,Left,VT,OFF transient medium RF,DJID_2801,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.3333333333333333,0,0,0,0,0,0,0,0,0,0,1.3333333333333333]","[0.816496580927726,0,0,0,0,0,0,0,0,0,0,0.816496580927726]","[0.33333333333333331,7.666666666666667,20.333333333333332,35,49,62.666666666666664,56.333333333333336,42,32.666666666666664,26.333333333333332,18.333333333333332,14.666666666666666]","[0.408248290463863,1.0801234497346432,2.857738033247041,0.70710678118654746,2.82842712474619,0.408248290463863,1.7795130420052183,2.5495097567963922,0.816496580927726,4.6007245806140871,1.0801234497346432,2.2730302828309754]",0,0.333333333333333,42,30,30,160,1.33333333333333,62.6666666666667,42,NaN
WT,Male,12.5714,Left,DN,OFF transient medium RF,DJID_3059,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.3333333333333333,3,1,1,1,0,0,0,0,2,0.33333333333333331]","[0,0.816496580927726,1.8708286933869707,1.2247448713915889,0.70710678118654746,1.2247448713915889,0,0,0,0,2.4494897427831779,0.408248290463863]","[0,0.33333333333333331,7,18.333333333333332,25,30.666666666666668,28,19.666666666666668,16.333333333333332,12.333333333333334,13,11]","[0,0.408248290463863,2.4494897427831779,0.81649658092772592,4.3011626335213125,1.7795130420052188,0.70710678118654746,0.408248290463863,0.408248290463863,1.0801234497346435,1.2247448713915889,0.70710678118654746]",0,0,30,30,59,160,3,30.6666666666667,NaN,NaN
