genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,ON transient medium RF,DJID_1503,83.3333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0.33333333333333331,8.3333333333333339,8.3333333333333339,2.6666666666666665,0.33333333333333331,1.5,0.16666666666666666]","[0,0,0,0,0,0.36514837167011072,1.2220201853215571,1.8475208614068022,0.83266639978645307,0.23094010767585033,0.88317608663278457,0.18257418583505536]","[0,0,0,0,0,0.66666666666666663,0,0,0.16666666666666666,0,0.16666666666666666,0]","[0,0,0,0,0,0.54160256030906406,0,0,0.18257418583505536,0,0.18257418583505536,0]",0,0,30,30,224,160,8.33333333333333,0.666666666666667,NaN,NaN
WT,Male,13.1429,Left,DT,ON transient medium RF,DJID_2045,466.666666666667,0.333333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,2.3333333333333335,6.333333333333333,13.666666666666666,34.666666666666664,50.333333333333336,59,56,46.666666666666664,39.333333333333336,33.333333333333336,29.333333333333332]","[1.0801234497346432,2.857738033247041,3.3416562759605704,2.6770630673681683,0.816496580927726,2.4832774042918895,1.8708286933869707,1.4142135623730949,0.408248290463863,2.2730302828309754,1.0801234497346432,3.1885210782848317]","[0.33333333333333331,0,1,0,1,0.33333333333333331,0,0.33333333333333331,0,0,0.33333333333333331,0]","[0.408248290463863,0,0.70710678118654746,0,0.70710678118654746,0.408248290463863,0,0.408248290463863,0,0,0.408248290463863,0]",1.66666666666667,0,30,42,224,59,59,1,NaN,NaN
WT,Unknown,6.8571,Right,DT,ON transient medium RF,DJID_2036,566.666666666667,8.91667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[13.666666666666666,20.5,33,45,49.666666666666664,54,55.333333333333336,53.333333333333336,50,44.666666666666664,43,41]","[1.4719601443879744,3.5355339059327378,1.8708286933869707,1.4142135623730949,3.1885210782848317,5.6568542494923806,4.708148963941845,1.4719601443879744,0,1.4719601443879744,2.1213203435596424,1.4142135623730949]","[9.3333333333333339,7.5,6,5.333333333333333,1.6666666666666667,3,2.3333333333333335,1.6666666666666667,4.5,6.333333333333333,1.3333333333333333,5]","[3.1885210782848317,3.5355339059327378,0.70710678118654746,2.1602468994692869,1.4719601443879744,1.4142135623730951,1.6329931618554521,0.40824829046386296,0.70710678118654757,6.0138728508895722,1.0801234497346432,2.1213203435596424]",13.6666666666667,1.33333333333333,30,858,224,30,55.3333333333333,9.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/?),Female,31.4286,Right,VN,ON transient medium RF,DJID_1584,500,0.222222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,3,0,10.666666666666666,14,18,28.666666666666668,25.333333333333332,32.333333333333336,24.333333333333332,24.666666666666668,21.666666666666668]","[0,3.6742346141747668,0,2.857738033247041,8.48528137423857,3.6742346141747668,1.4719601443879746,1.6329931618554521,2.6770630673681683,3.3416562759605704,1.4719601443879746,1.4719601443879746]","[0,0,0,0,0,0,0,0,0,2.3333333333333335,0,0]","[0,0,0,0,0,0,0,0,0,2.857738033247041,0,0]",0,0,30,30,439,614,32.3333333333333,2.33333333333333,NaN,NaN
WT,Male,9.1429,Left,DN,ON transient medium RF,DJID_1973,433.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,1.3333333333333333,1.6666666666666667,5.666666666666667,10.333333333333334,21,18.666666666666668,13,7,4.666666666666667]","[0,0,0,0.816496580927726,1.0801234497346432,0.408248290463863,1.0801234497346435,1.2247448713915889,1.0801234497346432,0.70710678118654746,0,1.4719601443879744]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,314,30,21,0,NaN,NaN
WT,Male,23.7143,Right,VT,ON transient medium RF,DJID_702,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,3.6666666666666665,7.666666666666667,13.666666666666666,20.666666666666668,43.666666666666664,62.666666666666664,78,90,85.333333333333329,78.666666666666671,75]","[0,2.857738033247041,2.2730302828309754,1.4719601443879746,2.48327740429189,2.2730302828309754,1.7795130420052183,1.4142135623730949,3.0822070014844885,1.4719601443879746,0.40824829046386296,3.2403703492039297]","[0,0,0,0,1.3333333333333333,1,1.3333333333333333,2.6666666666666665,4,2.6666666666666665,1.6666666666666667,2.6666666666666665]","[0,0,0,0,0.816496580927726,0,0.40824829046386296,0.408248290463863,0,0.408248290463863,1.0801234497346435,0.408248290463863]",0,0,30,30,439,439,90,4,NaN,NaN
WT,Male,19,Left,VN,ON transient medium RF,DJID_1256,0,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,30,30,0,0,NaN,NaN
WT,Male,19,Right,VN,ON transient medium RF,DJID_1255,666.666666666667,0.555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[10.333333333333334,17,22,29.666666666666668,40.333333333333336,42.333333333333336,43,32,25,23.333333333333332,20.666666666666668,21.666666666666668]","[3.1885210782848317,1.2247448713915889,0.70710678118654746,0.408248290463863,0.408248290463863,1.0801234497346432,1.2247448713915889,1.4142135623730949,1.4142135623730949,0.81649658092772592,0.81649658092772592,2.2730302828309759]","[0,0.33333333333333331,0,0,0.33333333333333331,0,0.66666666666666663,4.666666666666667,3.3333333333333335,3,0.66666666666666663,2.6666666666666665]","[0,0.408248290463863,0,0,0.408248290463863,0,0.408248290463863,2.1602468994692865,0.408248290463863,1.8708286933869707,0.408248290463863,0.408248290463863]",10.3333333333333,0,30,30,224,314,43,4.66666666666667,NaN,NaN
WT,Male,18.4286,Right,VT,ON transient medium RF,DJID_783,550,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,4.75,11.333333333333334,18.75,24,26.75,25.25,22.5,21.75,19.25,16.25]","[0,0,2.1278575558006176,1.0801234497346435,1.9075871903765997,2.6246692913372702,1.51840559652405,1.4433756729740645,1,0.98601329718326935,2.179449471770337,1.9649710204252662]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,224,30,26.75,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,ON transient medium RF,DJID_1744,333.333333333333,0.222222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,1,0,0,0.33333333333333331,0.66666666666666663,0,0,1,1.6666666666666667,0.66666666666666663,1.6666666666666667]","[0.408248290463863,1.2247448713915889,0,0,0.408248290463863,0.816496580927726,0,0,1.2247448713915889,2.0412414523193148,0.816496580927726,2.0412414523193148]","[0.33333333333333331,0,0,0.33333333333333331,5,14.333333333333334,25.333333333333332,29.333333333333332,27.333333333333332,21.333333333333332,14,12.333333333333334]","[0.408248290463863,0,0,0.408248290463863,6.1237243569579451,1.0801234497346435,2.0412414523193152,0.81649658092772592,2.9439202887759492,2.857738033247041,0.70710678118654746,0.816496580927726]",0,0,59,42,614,314,1.66666666666667,29.3333333333333,59,NaN
