genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,ON transient small RF,DJID_1503,200,29.1667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[26.333333333333332,28.666666666666668,27.333333333333332,22,12.333333333333334,5.666666666666667,5,4.666666666666667,5.666666666666667,5,3.3333333333333335,7.666666666666667]","[2.6770630673681683,0.408248290463863,6.3377177806105145,3.2403703492039297,1.0801234497346435,0.408248290463863,2.1213203435596424,1.6329931618554518,2.1602468994692869,1.2247448713915889,1.0801234497346432,2.6770630673681683]","[26.333333333333332,35,35.333333333333336,37,40,45.333333333333336,38,32.333333333333336,35,36.666666666666664,48.666666666666664,40]","[2.2730302828309759,1.2247448713915889,2.4832774042918895,7.87400787401181,0.70710678118654746,0.816496580927726,3.9370039370059051,12.172373091006808,6.9641941385920587,6.3377177806105145,0.408248290463863,4.415880433163923]",3.33333333333333,26.3333333333333,858,30,42,858,28.6666666666667,48.6666666666667,1538,NaN
WT,Female,23.7143,Right,,ON transient small RF,DJID_873,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,3.3333333333333335,7.666666666666667,21,30.333333333333332,36.666666666666664,30.333333333333332,21,10,5.666666666666667,4.666666666666667]","[0,0,0.408248290463863,0.408248290463863,0.70710678118654746,1.4719601443879746,1.6329931618554518,0.408248290463863,1.2247448713915889,1.2247448713915889,1.0801234497346432,2.1602468994692869]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,224,30,36.6666666666667,0,NaN,NaN
WT,Female,23.7143,Right,,ON transient small RF,DJID_873,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2.6666666666666665,5.666666666666667,14.333333333333334,20.333333333333332,23,27,30.666666666666668,29,14,4.666666666666667,2.6666666666666665,0.66666666666666663]","[1.0801234497346432,1.4719601443879744,1.0801234497346435,0.408248290463863,0.70710678118654746,0,2.1602468994692869,0.70710678118654746,1.8708286933869707,0.408248290463863,0.81649658092772592,0.408248290463863]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0.666666666666667,0,1200,30,224,30,30.6666666666667,0,1395,NaN
WT,Female,19.8571,Right,VN,ON transient small RF,DJID_780,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.6666666666666667,4,17.333333333333332,23,22.666666666666668,12.333333333333334,7,8.6666666666666661,6.666666666666667,7]","[0,0,1.0801234497346435,0.70710678118654746,1.4719601443879746,3.0822070014844885,0.408248290463863,0.40824829046386296,2.82842712474619,2.1602468994692865,1.0801234497346432,1.4142135623730949]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,160,30,23,0,NaN,NaN
WT,Female,7.4286,Left,DT,ON transient small RF,DJID_1431,400,0.944444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12,25.666666666666668,33.333333333333336,36.333333333333336,35,38.333333333333336,27.333333333333332,12.333333333333334,7,1,1.3333333333333333,0.66666666666666663]","[1.2247448713915889,2.6770630673681683,1.0801234497346432,4.5460605656619517,9.7979589711327115,1.0801234497346432,0.408248290463863,0.40824829046386296,1.4142135623730949,0.70710678118654746,1.0801234497346435,0.816496580927726]","[0,0,0,0.66666666666666663,1,1,0,1.3333333333333333,1.6666666666666667,0,0,1.6666666666666667]","[0,0,0,0.816496580927726,0.70710678118654746,0.70710678118654746,0,0.816496580927726,1.0801234497346432,0,0,1.0801234497346432]",0.666666666666667,0,1200,30,160,439,38.3333333333333,1.66666666666667,1786,NaN
WT,Female,46.7143,Left,VT,ON transient small RF,DJID_1723,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,1.3333333333333333,0,1.6666666666666667]","[0,0,0,0,0,0,0,0,0,1.0801234497346435,0,1.4719601443879744]","[0,0,0,2.6666666666666665,17.666666666666668,21,25,25,19.333333333333332,15,1,1.6666666666666667]","[0,0,0,1.7795130420052188,2.857738033247041,1.2247448713915889,3.0822070014844885,1.2247448713915889,2.857738033247041,0.70710678118654746,1.2247448713915889,1.0801234497346435]",0,0,30,30,1200,224,1.66666666666667,25,NaN,NaN
WT,Female,46.7143,Left,DN,ON transient small RF,DJID_1723,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,2,0.66666666666666663,1.6666666666666667,0,0,0,1.3333333333333333,0,5.333333333333333,3.6666666666666665]","[0,0,1.8708286933869707,0.816496580927726,2.0412414523193148,0,0,0,1.6329931618554521,0,1.4719601443879744,2.857738033247041]","[0,0,8.3333333333333339,23.333333333333332,34.666666666666664,48.666666666666664,47.333333333333336,37.666666666666664,27,20.333333333333332,8.3333333333333339,4.666666666666667]","[0,0,3.488074922742725,2.6770630673681683,2.0412414523193148,0.408248290463863,1.0801234497346432,1.0801234497346432,3.0822070014844885,0.81649658092772592,1.4719601443879746,0.816496580927726]",0,0,30,30,858,160,5.33333333333333,48.6666666666667,NaN,NaN
WT,Male,49,Left,VT,ON transient small RF,DJID_1633,133.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0.5,0,4.666666666666667,2.25,1.3333333333333333,1.6666666666666667,0,1.6666666666666667,0.66666666666666663]","[0,0,0,0.70710678118654757,0,3.3416562759605704,1.1902380714238083,0.40824829046386296,0.40824829046386296,0,1.0801234497346435,0.408248290463863]","[0,0,0,0,0,3,2.5,6,0,0.33333333333333331,0,0]","[0,0,0,0,0,3.6742346141747668,2.8867513459481291,7.3484692283495336,0,0.408248290463863,0,0]",0,0,30,30,160,314,4.66666666666667,6,NaN,NaN
WT,Female,27.1429,Right,VT,ON transient small RF,DJID_2061,266.666666666667,0.611111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,1.6666666666666667,6,17.333333333333332,28,35,33,22,15.666666666666666,12.333333333333334,6.333333333333333,5.666666666666667]","[0.816496580927726,2.0412414523193148,1.8708286933869707,3.62859017617954,0.70710678118654746,0.70710678118654746,1.8708286933869707,1.4142135623730949,0.40824829046386296,1.0801234497346435,1.0801234497346432,1.4719601443879744]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0.666666666666667,0,30,30,160,30,35,0,NaN,NaN
WT,Female,27.1429,Left,,ON transient small RF,DJID_2061,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.25,7.25,12.5,20.25,22,14.5,8.75,6.333333333333333,2.6666666666666665,0.75]","[0,0,1.092906420717,3.1402406135694618,4.8648398397754749,1.1902380714238083,1.4907119849998598,2.185812841434,0.55277079839256671,0.408248290463863,0.81649658092772592,0.28867513459481292]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,224,30,22,0,NaN,NaN
