genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,ON transient small RF,DJID_1503,200,29.1667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[26.333333333333332,28.666666666666668,27.333333333333332,22,12.333333333333334,5.666666666666667,5,4.666666666666667,5.666666666666667,5,3.3333333333333335,7.666666666666667]","[2.6770630673681683,0.408248290463863,6.3377177806105145,3.2403703492039297,1.0801234497346435,0.408248290463863,2.1213203435596424,1.6329931618554518,2.1602468994692869,1.2247448713915889,1.0801234497346432,2.6770630673681683]","[26.333333333333332,35,35.333333333333336,37,40,45.333333333333336,38,32.333333333333336,35,36.666666666666664,48.666666666666664,40]","[2.2730302828309759,1.2247448713915889,2.4832774042918895,7.87400787401181,0.70710678118654746,0.816496580927726,3.9370039370059051,12.172373091006808,6.9641941385920587,6.3377177806105145,0.408248290463863,4.415880433163923]",3.33333333333333,26.3333333333333,858,30,42,858,28.6666666666667,48.6666666666667,1538,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,ON transient small RF,DJID_1581,366.666666666667,7.94444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[6,9.3333333333333339,27.666666666666668,31.333333333333332,35.666666666666664,32.333333333333336,27,18.333333333333332,16,15.333333333333334,16,16]","[1.4142135623730949,0.816496580927726,3.3416562759605695,2.9439202887759492,1.7795130420052183,2.857738033247041,2.4494897427831779,2.48327740429189,0.70710678118654746,0.40824829046386296,0,1.2247448713915889]","[1.6666666666666667,2.3333333333333335,7,5,3,5.666666666666667,2.3333333333333335,0.33333333333333331,1.3333333333333333,1.6666666666666667,4.333333333333333,3]","[1.4719601443879744,0.408248290463863,3.2403703492039297,5.52268050859363,0.70710678118654746,2.857738033247041,1.0801234497346432,0.408248290463863,0.816496580927726,2.0412414523193148,0.408248290463863,0.70710678118654746]",6,0.333333333333333,30,314,115,59,35.6666666666667,7,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,ON transient small RF,DJID_1582,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,3.3333333333333335,9.3333333333333339,12.666666666666666,20.333333333333332,26.333333333333332,21,24,17.666666666666668,12.666666666666666,11.666666666666666,6.666666666666667]","[0.816496580927726,2.9439202887759488,7.5608641481425023,7.4944423853057049,4.0824829046386295,2.9439202887759492,2.1213203435596424,3.7416573867739413,3.5590260840104375,1.4719601443879746,1.7795130420052188,1.7795130420052183]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0.666666666666667,0,30,30,160,30,26.3333333333333,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,ON transient small RF,DJID_1583,400,0.333333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[4.666666666666667,5.333333333333333,13,21.666666666666668,26.333333333333332,26.666666666666668,24.333333333333332,14.666666666666666,8.3333333333333339,5.333333333333333,3.6666666666666665,3]","[0.816496580927726,0.408248290463863,1.4142135623730949,0.81649658092772592,1.0801234497346435,1.0801234497346432,0.408248290463863,0.40824829046386296,0.40824829046386296,0.408248290463863,2.6770630673681683,0.70710678118654746]","[0.33333333333333331,0,0,0,0,0,0,0,0,0.33333333333333331,0.33333333333333331,0]","[0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863,0.408248290463863,0]",3,0,1200,42,160,30,26.6666666666667,0.333333333333333,1969.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,ON transient small RF,DJID_1589,466.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[11,20,36,45.333333333333336,53.666666666666664,50.333333333333336,36,21.333333333333332,16.666666666666668,14.666666666666666,13.333333333333334,12.666666666666666]","[2.5495097567963922,6.0415229867972853,4.3011626335213125,4.5460605656619517,4.4907311951024926,1.0801234497346432,4.9497474683058327,2.857738033247041,2.857738033247041,2.1602468994692865,2.1602468994692865,2.2730302828309754]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",11,0,30,30,115,30,53.6666666666667,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,ON transient small RF,DJID_1589,433.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[20,27,30.666666666666668,35.666666666666664,37.666666666666664,38.666666666666664,36.333333333333336,18.666666666666668,13.333333333333334,12,13,12.333333333333334]","[1.4142135623730949,0.70710678118654746,0.81649658092772592,2.1602468994692869,1.0801234497346432,0.408248290463863,0.408248290463863,1.7795130420052188,1.0801234497346435,0.70710678118654746,0,0.816496580927726]","[0,0,0,0,0,0,0,0,0,0,0,0.33333333333333331]","[0,0,0,0,0,0,0,0,0,0,0,0.408248290463863]",12,0,614,30,160,1200,38.6666666666667,0.333333333333333,1401.5,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,ON transient small RF,DJID_2009,300,1.05556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2.3333333333333335,2,4.333333333333333,10.666666666666666,17.333333333333332,30.666666666666668,33.333333333333336,31.333333333333332,21.333333333333332,16.666666666666668,13.666666666666666,11.333333333333334]","[0.408248290463863,1.4142135623730949,4.1432676315520176,3.62859017617954,5.67156650905785,2.0412414523193152,2.0412414523193148,1.0801234497346432,1.7795130420052188,0.408248290463863,0.816496580927726,0.40824829046386296]","[0,0.66666666666666663,0.33333333333333331,0,1.3333333333333333,0.66666666666666663,0,0,0.33333333333333331,0,0,0]","[0,0.816496580927726,0.408248290463863,0,1.6329931618554521,0.816496580927726,0,0,0.408248290463863,0,0,0]",2,0,42,30,224,115,33.3333333333333,1.33333333333333,78,NaN
WT,Female,23.7143,Right,,ON transient small RF,DJID_873,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,3.3333333333333335,7.666666666666667,21,30.333333333333332,36.666666666666664,30.333333333333332,21,10,5.666666666666667,4.666666666666667]","[0,0,0.408248290463863,0.408248290463863,0.70710678118654746,1.4719601443879746,1.6329931618554518,0.408248290463863,1.2247448713915889,1.2247448713915889,1.0801234497346432,2.1602468994692869]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,224,30,36.6666666666667,0,NaN,NaN
WT,Female,23.7143,Right,,ON transient small RF,DJID_873,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2.6666666666666665,5.666666666666667,14.333333333333334,20.333333333333332,23,27,30.666666666666668,29,14,4.666666666666667,2.6666666666666665,0.66666666666666663]","[1.0801234497346432,1.4719601443879744,1.0801234497346435,0.408248290463863,0.70710678118654746,0,2.1602468994692869,0.70710678118654746,1.8708286933869707,0.408248290463863,0.81649658092772592,0.408248290463863]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0.666666666666667,0,1200,30,224,30,30.6666666666667,0,1395,NaN
WT,Female,19.8571,Right,VN,ON transient small RF,DJID_780,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.6666666666666667,4,17.333333333333332,23,22.666666666666668,12.333333333333334,7,8.6666666666666661,6.666666666666667,7]","[0,0,1.0801234497346435,0.70710678118654746,1.4719601443879746,3.0822070014844885,0.408248290463863,0.40824829046386296,2.82842712474619,2.1602468994692865,1.0801234497346432,1.4142135623730949]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,160,30,23,0,NaN,NaN
