genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,UHD,DJID_1581,233.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,12.333333333333334,16.666666666666668,17.666666666666668,3.6666666666666665,0,0,0.33333333333333331,0,0,0]","[0,0,1.0801234497346435,4.2622372841814729,2.2730302828309759,2.2730302828309759,0,0,0.408248290463863,0,0,0]","[5,6.333333333333333,19,17,16.333333333333332,7.333333333333333,2,0,0,0,0,0]","[3.5355339059327373,3.8944404818493075,2.5495097567963922,5.7879184513951127,4.320493798938573,0.408248290463863,1.2247448713915889,0,0,0,0,0]",0,0,30,314,115,59,17.6666666666667,19,NaN,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,UHD,DJID_1581,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1,6,13.666666666666666,26,23,12.666666666666666,0,0,0,1,1.3333333333333333,0.66666666666666663]","[0.70710678118654746,1.8708286933869707,2.6770630673681683,0.70710678118654746,1.4142135623730949,0.816496580927726,0,0,0,1.2247448713915889,1.0801234497346432,0.816496580927726]","[2.6666666666666665,9,26.333333333333332,45.666666666666664,36,13.666666666666666,3.6666666666666665,0,0,0,0,0.66666666666666663]","[2.1602468994692869,3.2403703492039297,1.0801234497346432,4.2622372841814737,2.4494897427831779,1.7795130420052188,1.0801234497346432,0,0,0,0,0.408248290463863]",0,0,224,314,82,82,26,45.6666666666667,224,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,UHD,DJID_1581,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,5.666666666666667,15.666666666666666,18.333333333333332,9.6666666666666661,0,0.33333333333333331,0.33333333333333331,0.66666666666666663,1,0]","[0,0.408248290463863,1.0801234497346432,1.0801234497346435,1.4719601443879746,1.0801234497346435,0,0.408248290463863,0.408248290463863,0.816496580927726,1.2247448713915889,0]","[0,1,9.3333333333333339,16,16,9.3333333333333339,3,1.3333333333333333,0,0,0,0]","[0,0.70710678118654746,0.40824829046386296,0.70710678118654746,2.5495097567963922,0.40824829046386296,0.70710678118654746,1.0801234497346432,0,0,0,0]",0,0,30,30,115,82,18.3333333333333,16,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,UHD,DJID_1582,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[16.333333333333332,16.333333333333332,15.666666666666666,13.666666666666666,10,10.333333333333334,9.6666666666666661,6.333333333333333,2.3333333333333335,0.33333333333333331,0.66666666666666663,0]","[0.408248290463863,1.7795130420052188,2.4832774042918895,2.857738033247041,0.70710678118654746,0.40824829046386296,0.40824829046386296,0.816496580927726,1.0801234497346432,0.408248290463863,0.816496580927726,0]","[3.6666666666666665,7.333333333333333,14.333333333333334,18.333333333333332,10.333333333333334,9.3333333333333339,4.666666666666667,2.3333333333333335,0,0,0,0]","[2.857738033247041,3.1885210782848317,2.9439202887759488,3.1885210782848317,1.0801234497346435,1.7795130420052188,0.816496580927726,0.408248290463863,0,0,0,0]",0,0,1200,439,30,82,16.3333333333333,18.3333333333333,1200,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,UHD,DJID_1582,300,0.611111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[11,12.333333333333334,17.666666666666668,15.333333333333334,16.333333333333332,14,9.3333333333333339,5.333333333333333,1.6666666666666667,0.33333333333333331,0,2.6666666666666665]","[8.1547532151500448,7.6267074590983661,1.7795130420052188,2.9439202887759488,1.0801234497346432,2.1213203435596424,1.6329931618554521,3.1885210782848317,1.0801234497346432,0.408248290463863,0,3.2659863237109041]","[0,1.6666666666666667,13.666666666666666,24.333333333333332,16.666666666666668,11,3,0.66666666666666663,1,0.66666666666666663,0,0.33333333333333331]","[0,2.0412414523193148,7.7567175188133959,6.3770421565696633,1.4719601443879746,0.70710678118654746,1.2247448713915889,0.408248290463863,1.2247448713915889,0.816496580927726,0,0.408248290463863]",0,0,858,30,59,82,17.6666666666667,24.3333333333333,858,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,UHD,DJID_1582,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.3333333333333333,6.666666666666667,11.666666666666666,11.5,5.333333333333333,1.5,0.16666666666666666,0,0,0]","[0,0,1.0832051206181281,2.5716402029314547,3.2331615074619044,2.8530685235374209,1.6411378166788229,0.54772255750516607,0.18257418583505536,0,0,0]","[0.5,0,0.16666666666666666,2,5.166666666666667,4.833333333333333,1.3333333333333333,0.5,0.66666666666666663,1.1666666666666667,0.66666666666666663,0]","[0.54772255750516607,0,0.18257418583505536,2.1908902300206643,2.2700954458641891,2.0281354326901675,0.541602560309064,0.37416573867739411,0.73029674334022143,0.71647284200682249,0.73029674334022143,0]",0,0,30,42,115,115,11.6666666666667,5.16666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,UHD,DJID_1582,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.3333333333333333,10.333333333333334,21,25.333333333333332,13,8.6666666666666661,1.6666666666666667,0.66666666666666663,0,5.333333333333333,1.3333333333333333]","[0,1.6329931618554521,1.4719601443879746,2.5495097567963922,2.1602468994692869,1.8708286933869707,2.2730302828309754,0.40824829046386296,0.816496580927726,0,1.4719601443879744,0.816496580927726]","[0,0,0.66666666666666663,1.3333333333333333,10.666666666666666,6.333333333333333,1,0.66666666666666663,1.6666666666666667,0,0,0.66666666666666663]","[0,0,0.816496580927726,1.6329931618554521,5.2121652570372969,0.408248290463863,1.2247448713915889,0.408248290463863,1.4719601443879744,0,0,0.816496580927726]",0,0,30,30,115,115,25.3333333333333,10.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,UHD,DJID_1583,233.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,3,9.3333333333333339,12.333333333333334,17,9.6666666666666661,3.3333333333333335,0.33333333333333331,0,0.33333333333333331,0.33333333333333331,0]","[0.816496580927726,0.70710678118654746,2.4832774042918895,0.40824829046386296,1.2247448713915889,1.4719601443879746,0.408248290463863,0.408248290463863,0,0.408248290463863,0.408248290463863,0]","[3.6666666666666665,8.3333333333333339,20,19,10,3.6666666666666665,1,0,1,0,0,0]","[1.7795130420052188,4.708148963941845,7.6485292703891776,4.6368092477478511,0.70710678118654746,1.4719601443879746,0.70710678118654746,0,1.2247448713915889,0,0,0]",0,0,439,314,115,59,17,20,439,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,UHD,DJID_1589,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[28.666666666666668,33.666666666666664,37,32,28,16,6,0,0,0,0,0]","[3.4880749227427246,1.7795130420052183,1.4142135623730949,0.70710678118654746,1.8708286933869707,3.2403703492039297,2.1213203435596424,0,0,0,0,0]","[6.333333333333333,19.333333333333332,29,18.666666666666668,13.666666666666666,7.666666666666667,3.6666666666666665,1.3333333333333333,0.33333333333333331,0,0,0]","[2.6770630673681683,2.2730302828309759,3.9370039370059051,2.1602468994692869,0.816496580927726,1.4719601443879744,0.408248290463863,1.0801234497346432,0.408248290463863,0,0,0]",0,0,314,614,59,59,37,29,314,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,UHD,DJID_1589,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[5.666666666666667,9,16.333333333333332,17.666666666666668,21.666666666666668,9,4.333333333333333,0.33333333333333331,4.666666666666667,9.3333333333333339,10,3.3333333333333335]","[5.1153364177409344,0.70710678118654746,2.48327740429189,2.9439202887759492,1.4719601443879746,1.4142135623730949,0.816496580927726,0.408248290463863,5.1153364177409344,2.6770630673681683,6.0415229867972853,1.7795130420052188]","[0.66666666666666663,0,10.333333333333334,15.666666666666666,16.333333333333332,9.6666666666666661,10.333333333333334,7.666666666666667,4,2,0.66666666666666663,0]","[0.816496580927726,0,1.4719601443879746,1.7795130420052183,3.3416562759605695,5.3072277760302189,2.6770630673681683,1.0801234497346432,1.4142135623730949,1.2247448713915889,0.816496580927726,0]",0.333333333333333,0,314,42,115,115,21.6666666666667,16.3333333333333,317.75,NaN
